yogafire 2017-04-19 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 110160 213104 2429904    0    0    13    10   36   30  1  0 99  0
 0  0      0 107508 213128 2429932    0    0     0   130  130  105  1  1 98  0
 0  0      0 110128 213136 2429932    0    0     0     3   57   67  0  0 100  0
 0  0      0 110128 213148 2429932    0    0     0    13   47   58  0  0 100  0
 0  0      0 109112 213156 2429924    0    0     0     1   94   84  0  1 99  0
 0  0      0 108732 213188 2429944    0    0     0    34  116  137  0  0 100  0
 0  0      0 108740 213196 2429944    0    0     0     2   71   81  0  0 100  0
 0  0      0 108740 213212 2429952    0    0     0    11   67   83  0  0 100  0
 0  0      0 108244 213220 2429952    0    0     0     2   75   85  0  1 99  0
 0  0      0 107980 213232 2429956    0    0     0     7  106  128  0  0 100  0
 0  0      0 105840 213300 2429984    0    0     1    43  167  163  1  0 98  0
 0  0      0 103304 213352 2430104    0    0     0    46  191  161  1  1 98  0
 2  0      0 103568 213436 2430120    0    0     0    77  158  133  2  1 97  0
 0  0      0 103320 213444 2430120    0    0     0     8   69   86  0  0 100  0
 0  0      0 103320 213460 2430120    0    0     0    13   78  102  0  0 100  0
 0  0      0 103724 213484 2430124    0    0     0   128  124   97  1  1 98  0
 0  0      0 103476 213492 2430132    0    0     0     2   99  108  0  1 99  0
 0  0      0 103476 213508 2430132    0    0     0    15   52   61  0  0 100  0
 0  0      0 104492 213516 2430132    0    0     0     2   61   67  0  0 100  0
 0  0      0 107144 213528 2430132    0    0     0     3   66   73  0  0 100  0
 0  0      0 107640 213536 2430132    0    0     0     3   85   96  0  1 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 108640 213544 2430136    0    0     0     5   84   98  0  0 100  0
 0  0      0 108640 213552 2430136    0    0     0     7   55   71  0  0 100  0
 0  0      0 108640 213560 2430136    0    0     0     3   78  103  0  0 100  0
 2  0      0 106344 213608 2430148    0    0     0    33  185  164  1  1 99  0
 0  0      0 104336 213672 2430196    0    0     0    60  151  136  0  1 99  0
 0  0      0 104088 213688 2430196    0    0     0     9   65   69  0  0 99  0
 0  0      0 104088 213696 2430200    0    0     0    13   57   68  0  0 100  0
 0  0      0 103824 213712 2430200    0    0     0     4   91   96  0  1 99  0
 0  0      0 103592 213728 2430200    0    0     0     9  106   89  1  1 99  0
 0  0      0 104212 213736 2430200    0    0     0     6   61   70  0  0 100  0
 0  0      0 106376 213752 2430200    0    0     0    17   82   70  0  0 100  0
 0  0      0 108864 213764 2430200    0    0     0     1  103   89  0  1 99  0
 0  0      0 108516 213776 2430200    0    0     0     9   64   68  0  0 100  0
 0  0      0 108516 213784 2430200    0    0     0     1   53   65  0  0 100  0
 0  0      0 109516 213796 2430200    0    0     0     1   59   63  0  0 100  0
 0  0      0 107764 213812 2430200    0    0     0     8  149  149  0  2 98  0
 0  0      0 107880 213820 2430160    0    0     0     9   61   75  0  0 100  0
 0  0      0 108260 213836 2430168    0    0     0    10   56   64  0  0 100  0
 0  0      0 108260 213844 2430168    0    0     0     1   51   59  0  0 100  0
 3  0      0 107740 213852 2430168    0    0     0     2   74   75  0  1 99  0
 0  0      0 107888 213864 2430168    0    0     0    12   65   69  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 107888 213872 2430168    0    0     0     2   66   81  0  0 100  0
 0  0      0 109384 213888 2430168    0    0     0     5  109   78  1  1 99  0
 0  0      0 106104 213896 2430156    0    0     0     3  146  147  0  1 99  0
 0  0      0 105352 213976 2430220    0    0     0    52  117  112  0  0 100  0
 0  0      0 105352 213984 2430224    0    0     0     3   55   60  0  0 100  0
 0  0      0 105352 214000 2430216    0    0     0    20   60   63  0  0 100  0
 0  0      0 104840 214008 2430224    0    0     0     1   81   78  0  1 99  0
 0  0      0 105236 214016 2430232    0    0     0    10   76   76  0  0 100  0
 0  0      0 105096 214024 2430232    0    0     0     3   62   69  0  0 100  0
 0  0      0 106368 214032 2430232    0    0     0     3   61   60  0  0 100  0
 2  0      0 108012 214040 2430232    0    0     0     5   78   72  0  1 99  0
 0  0      0 108136 214056 2430232    0    0     0     7   68   76  0  0 100  0
 0  0      0 108136 214064 2430232    0    0     0     1   55   74  0  0 100  0
 0  0      0 108136 214076 2430232    0    0     0     5   53   72  0  0 100  0
 0  0      0 108624 214084 2430232    0    0     0     1   82   75  0  1 99  0
 0  0      0 107012 214108 2430236    0    0     0    13  118  111  1  1 99  0
 0  0      0 109020 214116 2430240    0    0     0     3   73   72  0  0 100  0
 0  0      0 109020 214132 2430240    0    0     0     5   52   61  0  0 100  0
 0  0      0 108524 214140 2430240    0    0     0     3   80   74  0  2 98  0
 0  0      0 108772 214148 2430244    0    0     0     5   57   66  0  0 100  0
 0  0      0 108772 214156 2430244    0    0     0     4   54   64  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 108772 214164 2430244    0    0     0     2   53   67  0  0 100  0
 2  1      0 107756 214180 2430244    0    0     0    11  101  115  0  0 99  0
 0  0      0 107128 214204 2430264    0    0     0    26   97  107  0  1 99  0
 0  0      0 107128 214212 2430264    0    0     0     3   52   65  0  0 100  0
 0  0      0 107004 214220 2430268    0    0     0    11   75   80  0  0 100  0
 0  0      0 106632 214228 2430268    0    0     0     1   79   81  0  1 99  0
 0  0      0 106384 214240 2430268    0    0     0     7   55   68  0  0 100  0
 0  0      0 106384 214244 2430268    0    0     0     5   48   58  0  0 100  0
 0  0      0 106376 214284 2430308    0    0     0    47  230  192  2  1 97  0
 0  0      0 106376 214300 2430308    0    0     0     8   75   82  0  1 99  0
 0  0      0 106128 214316 2430308    0    0     0    19   55   71  0  0 100  0
 0  0      0 106128 214328 2430308    0    0     0     2   54   65  0  0 100  0
 0  0      0 106128 214336 2430308    0    0     0     5   51   62  0  0 100  0
 0  0      0 106004 214384 2430308    0    0     0    31  123  113  1  1 99  0
 0  0      0 106004 214392 2430316    0    0     0     4   55   71  0  0 100  0
