yogafire 2017-04-08 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2940 299204 371572 1876536    0    0     1     0    0    1  0  0 99  0
 0  0   2940 300344 371580 1876556    0    0     0    12  104   74  0  0 100  0
 0  0   2940 300336 371584 1876556    0    0     0     1   73   63  0  0 100  0
 0  0   2940 300336 371588 1876556    0    0     0     5   73   72  0  0 100  0
 0  0   2940 300156 371592 1876556    0    0     0     3   95   78  0  1 99  0
 0  0   2940 300468 371596 1876556    0    0     0     5   89   75  0  0 100  0
 0  0   2940 300584 371600 1876556    0    0     0     1   70   63  0  0 100  0
 0  0   2940 300196 371604 1876556    0    0     0     7   82   70  0  0 100  0
 2  0   2940 299668 371616 1876552    0    0     0     7  114   81  0  1 99  0
 0  0   2940 299584 371624 1876556    0    0     0    10   89   79  0  0 100  0
 0  0   2940 299452 371628 1876560    0    0     0     1   73   67  0  0 100  0
 0  0   2940 299452 371640 1876560    0    0     0     5   72   76  0  0 100  0
 0  0   2940 299452 371648 1876556    0    0     0     4   73   74  0  0 100  0
 0  0   2940 299428 371652 1876560    0    0     0     6  106   84  0  1 99  0
 0  0   2940 299584 371652 1876560    0    0     0     5   72   67  0  0 100  0
 0  0   2940 299584 371656 1876560    0    0     0     1   59   70  0  0 100  0
 0  0   2940 299584 371664 1876560    0    0     0     1   69   68  0  0 100  0
 0  0   2940 299460 371672 1876556    0    0     0     9  103   75  0  1 99  0
 0  0   2940 300584 371676 1876560    0    0     0     1   86   64  0  0 100  0
 0  0   2940 298584 371680 1876556    0    0     0     7   96   94  0  0 100  0
 4  0   2940 297428 371688 1876560    0    0     0     7   94   91  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940 296956 371700 1876572    0    0     0    14  147  120  0  1 99  0
 0  0   2940 296956 371700 1876572    0    0     0    12   76   69  0  0 100  0
 0  0   2940 296312 371704 1876476    0    0     0   224  118   93  1  0 99  0
 3  0   2940 294940 371716 1876476    0    0     0    28  112   92  0  1 99  0
 0  0   2940 294808 371720 1876476    0    0     0    16   82   68  0  0 100  0
 1  0   2940 294816 371724 1876476    0    0     0     2   69   71  0  0 100  0
 0  0   2940 296420 371724 1876528    0    0     0     9  145  103  1  0 98  0
 0  0   2940 295412 371744 1876548    0    0     0    49  203  143  0  0 99  0
 0  0   2940 294304 371756 1876548    0    0     0     9  106   74  0  1 99  0
 0  0   2940 294296 371760 1876548    0    0     0    15   65   63  0  0 100  0
 0  0   2940 294296 371764 1876548    0    0     0     1   59   70  0  0 100  0
 0  0   2940 294100 371764 1876548    0    0     0     2   94   79  0  1 99  0
 0  0   2940 294164 371768 1876548    0    0     0     8   75   60  0  0 100  0
 0  0   2940 296940 371776 1876548    0    0     0     3   83   68  0  0 100  0
 0  0   2940 299080 371776 1876548    0    0     0     1   65   56  0  0 100  0
 0  0   2940 298684 371784 1876544    0    0     0     3   93   72  0  1 99  0
 0  0   2940 299064 371784 1876512    0    0     0     8  105   86  0  0 100  0
 0  0   2940 297964 371796 1876560    0    0     0    24  150  114  1  0 98  0
 0  0   2940 297708 371804 1876528    0    0     0    27  100   86  0  0 100  0
 3  0   2940 296940 371816 1876524    0    0     0     6   72   65  0  0 99  0
 0  0   2940 331528 371832 1876548    0    0     0    39  159  109  1  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940 331552 371836 1876544    0    0     0     8   73   61  0  0 100  0
 0  0   2940 331552 371844 1876548    0    0     0    13   62   58  0  0 100  0
