yogafire 2017-05-01 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1538960 429732 545800    0    0     2     7   30   28  0  0 99  0
 0  0      0 1541060 429732 545840    0    0     1    10  136  112  0  0 99  0
 0  0      0 1539292 429744 545920    0    0     5    99  128  114  1  0 99  0
 0  0      0 1539292 429744 545920    0    0     0     9   64   67  0  0 100  0
 0  0      0 1539292 429744 545920    0    0     0    12   53   67  0  0 100  0
 0  0      0 1538796 429748 545920    0    0     0     8   78   76  0  1 99  0
 0  0      0 1538796 429748 545920    0    0     0     7   58   66  0  0 100  0
 0  0      0 1538796 429752 545920    0    0     0     5   67   69  0  0 100  0
 0  0      0 1539540 429764 545972    0    0     0    34  134  112  1  1 99  0
 0  0      0 1539292 429764 545972    0    0     0    26   85   80  0  0 100  0
 0  0      0 1539292 429764 545972    0    0     0     6   57   66  0  0 100  0
 0  0      0 1538796 429768 546016    0    0     0    49  132  118  1  0 99  0
 2  0      0 1538036 429768 546016    0    0     0     5   70   82  0  0 99  0
 0  0      0 1536120 429772 545968    0    0     0    33  169  154  0  1 99  0
 2  0      0 1531956 429800 546160    0    0     0   120  391  353  1  1 99  0
 0  0      0 1530204 429812 546188    0    0     0    26   88   88  0  0 100  0
 0  0      0 1530080 429816 546184    0    0     0    19   68   69  0  0 100  0
 0  0      0 1529344 429816 546184    0    0     0     6   88   84  0  1 99  0
 0  0      0 1530228 429816 546184    0    0     0     1   60   70  0  0 100  0
 0  0      0 1530228 429820 546184    0    0     0     5   64   83  0  0 100  0
 0  0      0 1529724 429820 546184    0    0     0     4   82   93  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1536036 429820 546188    0    0     0     6  117  101  0  2 98  0
 0  0      0 1540548 429832 546184    0    0     0     9   98   79  0  0 100  0
 0  0      0 1541804 429832 546188    0    0     0     4   98   92  0  0 99  0
 3  0      0 1541804 429836 546184    0    0     0     6   63   79  0  0 100  0
 0  0      0 1541804 429840 546196    0    0     0    10  100  104  0  1 99  0
 0  0      0 1540656 429844 546216    0    0     0     7  103   87  1  0 99  0
 0  0      0 1541308 429856 546224    0    0     0    60   87   86  0  0 100  0
 0  0      0 1541316 429856 546224    0    0     0     4   66   74  0  0 100  0
 0  0      0 1541432 429860 546236    0    0     0    14  114  110  0  1 99  0
 0  0      0 1540424 429864 546248    0    0     0    36  123  135  0  0 99  0
 0  0      0 1540424 429868 546248    0    0     0    10   81   95  0  0 100  0
 0  0      0 1540424 429872 546248    0    0     0    12   49   63  0  0 100  0
 0  0      0 1538036 429872 546220    0    0     0    35  187  194  0  1 99  0
 0  0      0 1535128 429908 546352    0    0     0    90  253  233  0  1 99  0
 0  0      0 1535128 429912 546356    0    0     0     9   48   59  0  0 100  0
 0  0      0 1534764 429920 546396    0    0     0    42  137  115  1  0 99  0
 0  0      0 1533656 429928 546400    0    0     0    12  108  117  0  1 99  0
 0  0      0 1535400 429928 546400    0    0     0    13   60   70  0  0 100  0
 0  0      0 1535400 429928 546400    0    0     0     6   82   92  0  0 100  0
 0  0      0 1534988 429940 546420    0    0     0    37  148  136  1  2 98  0
 0  0      0 1536524 429944 546420    0    0     0    16  113  120  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1536524 429956 546420    0    0     0     9   76   91  0  0 100  0
 0  0      0 1538448 429972 546504    0    0     0    77  215  173  3  1 96  0
 0  0      0 1538448 429972 546508    0    0     0     6   53   69  0  0 100  0
 0  0      0 1538324 429976 546504    0    0     0     9   77   84  0  1 99  0
 0  0      0 1538200 429980 546512    0    0     0     8   48   53  0  0 100  0
 0  0      0 1538704 429980 546512    0    0     0     2   48   58  0  0 100  0
 0  0      0 1538936 429980 546512    0    0     0     2   66   65  0  1 99  0
 0  0      0 1540936 429988 546512    0    0     0     6   67   80  0  0 100  0
 0  0      0 1543860 429988 546516    0    0     0     2   61   61  0  0 100  0
 0  0      0 1543860 429988 546516    0    0     0     5   54   63  0  0 100  0
 0  0      0 1544108 429992 546516    0    0     0     1   71   74  0  1 99  0
