yogafire 2017-04-30 00:00:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1572168 444556 499256    0    0     2     7   31   29  0  0 99  0
 0  0      0 1576488 444556 499272    0    0     0    12   89   79  0  0 100  0
 0  0      0 1576488 444556 499272    0    0     0     1   50   59  0  0 100  0
 0  0      0 1576488 444556 499272    0    0     0     5   48   65  0  0 100  0
 0  0      0 1576372 444556 499272    0    0     0     3   72   75  0  1 99  0
 0  0      0 1576240 444556 499272    0    0     0     6   63   79  0  0 100  0
 0  0      0 1576240 444556 499272    0    0     0     5   55   80  0  0 100  0
 0  0      0 1576496 444556 499272    0    0     0     2   62   62  0  0 100  0
 4  0      0 1576472 444556 499272    0    0     0     2   62   77  0  0 100  0
 0  0      0 1576372 444560 499268    0    0     0     6   77   79  0  0 99  0
 0  0      0 1573292 444568 499336    0    0     0    15  166  140  2  0 98  0
 0  0      0 1572672 444580 499332    0    0     0    54  117  127  0  0 99  0
 0  0      0 1572060 444580 499336    0    0     0     3   71   71  0  1 99  0
 0  0      0 1571276 444584 499308    0    0     0    28  131  116  0  0 100  0
 0  0      0 1568004 444596 499432    0    0     0    92  270  253  0  1 99  0
 0  0      0 1568004 444596 499432    0    0     0     7   53   71  0  0 100  0
 0  0      0 1567268 444596 499432    0    0     0    16   77   76  0  1 99  0
 0  0      0 1569664 444596 499432    0    0     0     6   81   91  0  0 100  0
 0  0      0 1569664 444596 499432    0    0     0     1   61   93  0  0 100  0
 0  0      0 1569664 444596 499432    0    0     0     4   66   95  0  0 100  0
 0  0      0 1570244 444596 499432    0    0     0     3  121  116  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1575092 444600 499428    0    0     0    11   76   83  0  0 100  0
 0  0      0 1575092 444604 499432    0    0     0     1   45   64  0  0 100  0
 0  0      0 1574952 444604 499432    0    0     0     2   66   68  0  0 100  0
 1  0      0 1574588 444604 499432    0    0     0    23   86   89  0  1 99  0
 0  0      0 1573432 444612 499468    0    0     0    13  112   93  1  0 99  0
 1  0      0 1574020 444352 499476    0    0     0    31   70   77  0  0 100  0
 1  0      0 1574020 444356 499476    0    0     0     1   51   67  0  0 100  0
 1  0      0 1572880 444360 499476    0    0     0    14   81   88  0  1 99  0
 0  0      0 1573036 444360 499476    0    0     0     5   56   63  0  0 100  0
 0  0      0 1573416 444364 499476    0    0     0     2   51   64  0  0 100  0
 1  0      0 1573416 444372 499476    0    0     0     4   58  100  0  0 100  0
 1  0      0 1575896 444376 499476    0    0     0     1   97  113  0  1 99  0
 0  0      0 1575788 444380 499480    0    0     0    16  116  114  0  0 100  0
 1  0      0 1575408 444388 499488    0    0     0    20   61   76  0  0 100  0
 1  0      0 1575408 444388 499488    0    0     0     3   52   71  0  0 100  0
 3  0      0 1570416 444400 499524    0    0     0    23  173  142  1  2 97  0
 0  0      0 1572028 444412 499532    0    0     0    26   90   83  0  0 100  0
 0  0      0 1572028 444412 499532    0    0     0     2   51   64  0  0 100  0
 0  0      0 1572028 444412 499532    0    0     0     7   47   61  0  0 100  0
 0  0      0 1572128 444416 499536    0    0     0     1   99   93  0  1 99  0
 0  0      0 1572408 444420 499536    0    0     0     6   61   65  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1572408 444424 499536    0    0     0     5   54   64  0  0 100  0
 0  0      0 1575432 444424 499536    0    0     0     2   70   63  0  0 100  0
 0  0      0 1576432 444424 499536    0    0     0     1   69   70  0  1 99  0
 0  0      0 1576308 444428 499536    0    0     0     8   51   63  0  0 100  0
 0  0      0 1574152 444428 499568    0    0     0     7   98  106  0  0 99  0
 0  0      0 1573904 444432 499568    0    0     0    25   75   80  0  0 99  0
 0  0      0 1573036 444432 499572    0    0     0    10   85   90  0  1 99  0
 0  0      0 1573036 444448 499572    0    0     0    10   56   74  0  0 100  0
 0  0      0 1573036 444456 499572    0    0     0     8   54   61  0  0 100  0
 0  0      0 1573036 444460 499572    0    0     0     4   64   96  0  0 100  0
 0  0      0 1572292 444468 499572    0    0     0     3  139  163  0  1 99  0
 0  0      0 1572392 444492 499572    0    0     0    38  161  146  0  0 99  0
 1  0      0 1570740 444500 499624    0    0     0     9  133  107  0  0 99  0
 0  0      0 1569996 444512 499648    0    0     0    71  140  130  1  0 99  0
 0  0      0 1569384 444516 499648    0    0     0     3   89   91  0  1 99  0
 0  0      0 1569376 444516 499648    0    0     0    16   58   64  0  0 100  0
 0  0      0 1569376 444516 499648    0    0     0     1   48   60  0  0 100  0
 0  0      0 1569376 444520 499648    0    0     0     2   47   62  0  0 100  0
 1  0      0 1569344 444520 499648    0    0     0     3  116  116  0  2 98  0
 0  0      0 1571904 444528 499648    0    0     0     6   85   69  0  0 100  0
 0  0      0 1576176 444528 499652    0    0     0     5   72   63  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1576176 444528 499652    0    0     0     2   51   55  0  0 100  0
 0  0      0 1573276 444536 499664    0    0     0    28  120  103  0  1 99  0
 0  0      0 1573392 444536 499732    0    0     4    69  100   88  0  0 99  0
 0  0      0 1572516 444536 499784    0    0     0    24  129  111  1  0 99  0
 0  0      0 1572384 444536 499792    0    0     0    29   72   75  0  0 100  0
15  0      0 1570996 444540 499792    0    0     0     1   65   67  0  1 99  0
 0  0      0 1571020 444544 499792    0    0     0     6   71  103  0  0 100  0
 0  0      0 1571020 444548 499792    0    0     0     5   52   71  0  0 100  0
 0  0      0 1571408 444552 499792    0    0     0     3   70   82  0  0 100  0
 0  0      0 1571648 444552 499792    0    0     0     1   75   87  0  1 99  0
 0  0      0 1570888 444560 499264    0    0     0    79  430  614  0  1 99  0
 0  0      0 1562668 444584 499632    0    0     0   138  698  727  1  1 98  0
 0  0      0 1561684 444656 500100    0    0     0   259  819  847  1  1 98  0
 0  0      0 1559932 444728 500648    0    0     0   285  820  826  1  1 98  0
 0  0      0 1559956 444740 500964    0    0     0   174  418  398  0  0 99  0
 1  0      0 1560832 444740 500964    0    0     0    30   60   72  0  0 100  0
 0  0      0 1560832 444748 500964    0    0     0     3   55   68  0  0 100  0
yogafire 2017-04-30 00:20:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1560740 444752 500964    0    0     2     7   31   29  0  0 99  0
 0  0      0 1561212 444756 500964    0    0     0     6   81   93  0  0 100  0
 0  0      0 1562104 444764 500964    0    0     0     3   70   92  0  0 100  0
 0  0      0 1562104 444764 500964    0    0     0     5   57   77  0  0 100  0
 2  0      0 1574424 444768 500964    0    0     0     1   94  111  0  1 99  0
 0  0      0 1574820 444772 500960    0    0     0     7   71   80  0  0 100  0
 0  0      0 1574820 444772 500964    0    0     0     5   56   63  0  0 100  0
 0  0      0 1574820 444772 500964    0    0     0     1   54   73  0  0 100  0
 0  0      0 1574820 444776 500964    0    0     0     1   65  100  0  0 100  0
 0  0      0 1575440 444776 500964    0    0     0     9   80   94  0  1 99  0
 0  0      0 1575440 444776 500964    0    0     0     1   50   75  0  0 100  0
 0  0      0 1575820 444780 500964    0    0     0     2   62   79  0  0 100  0
 0  0      0 1575820 444780 500964    0    0     0     2   60   81  0  0 100  0
 0  0      0 1574664 444780 500964    0    0     0    18  162  146  0  1 99  0
 0  0      0 1574160 444792 500992    0    0     0    33   82   94  0  0 100  0
 0  0      0 1574160 444792 500992    0    0     0     4   48   56  0  0 100  0
 0  0      0 1573168 444792 500992    0    0     0     2   78   79  0  1 99  0
 0  0      0 1572796 444792 500996    0    0     0     6   56   64  0  0 100  0
 0  0      0 1572796 444792 500996    0    0     0     1   49   60  0  0 100  0
 0  0      0 1571780 444792 501004    0    0     0     5   77   77  0  0 100  0
26  0      0 1573564 444792 501004    0    0     0     8  120  101  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1573936 444800 501008    0    0     0     8   68   74  0  0 100  0
 0  0      0 1573936 444804 501012    0    0     0    10   57   77  0  0 100  0
 0  0      0 1573936 444808 501012    0    0     0     2   54   86  0  0 100  0
 0  0      0 1574168 444808 501012    0    0     0    22   83   91  0  1 99  0
