yogafire 2017-03-30 00:00:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2928 1681120 363592 532020    0    0     0     1    1    1  0  0 99  0
 0  0   2928 1681464 363600 532044    0    0     0     8   86   78  0  0 100  0
 0  0   2928 1683140 363600 532044    0    0     0     9   72   76  0  0 100  0
 0  0   2928 1672004 363352 543808    0    0     0  2372  900 1120  1  3 96  0
 0  0   2928 1672012 363356 543808    0    0     0     7  132  106  0  1 99  0
 0  0   2928 1672392 363360 543808    0    0     0     8  100   90  0  0 100  0
 0  0   2928 1671252 363368 543808    0    0     0    11  161  136  0  0 99  0
 0  0   2928 1682536 363380 532056    0    0     0    12   90   80  0  0 100  0
 0  0   2928 1682140 363388 532060    0    0     0    10  125   89  0  1 99  0
 0  0   2928 1682164 363388 532060    0    0     0    15   61   69  0  0 100  0
 0  0   2928 1683444 363388 532060    0    0     0     1   75   69  0  0 100  0
 0  0   2928 1683444 363388 532060    0    0     0     1   78   74  0  0 100  0
 0  0   2928 1685840 363392 532060    0    0     0     2  111   89  0  1 99  0
 0  0   2928 1685956 363400 532060    0    0     0     5   67   69  0  0 100  0
 0  0   2928 1687344 363404 532060    0    0     0     4   84   67  0  0 100  0
 0  0   2928 1685368 363424 532100    0    0     0    30  185  124  1  1 99  0
 0  0   2928 1684748 363428 532100    0    0     0     5  102   81  0  1 99  0
 0  0   2928 1684624 363436 532096    0    0     0    19   71   69  0  0 100  0
 0  0   2928 1684624 363436 532100    0    0     0     1   65   66  0  0 100  0
 0  0   2928 1684624 363436 532100    0    0     0     5   83   70  0  0 100  0
 0  0   2928 1683880 363436 532100    0    0     0     1  111   92  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2928 1683948 363464 532064    0    0     0   201  207  138  3  1 97  0
 0  0   2928 1683956 363468 532032    0    0     0    17   89   71  0  0 100  0
 0  0   2928 1684080 363480 532060    0    0     0    67  126  101  1  0 99  0
 0  0   2928 1683708 363484 532060    0    0     0     7  124   95  0  1 99  0
 0  0   2928 1683584 363496 532056    0    0     0    21   83   72  0  0 100  0
 0  0   2928 1683708 363516 532068    0    0     0    28  125  100  1  0 99  0
 0  0   2928 1683708 363520 532076    0    0     0     3   97   72  0  0 100  0
 1  0   2928 1681080 363552 532072    0    0     0    57  216  149  0  1 99  0
 0  0   2928 1680684 363556 532076    0    0     0     8   79   68  0  0 100  0
 0  0   2928 1681064 363556 532076    0    0     0    13   86   71  0  0 100  0
 0  0   2928 1681408 363564 532128    0    0     0    37  165  111  2  0 98  0
 0  0   2928 1680880 363564 532136    0    0     0     5  114   86  0  1 99  0
 0  0   2928 1680756 363564 532136    0    0     0    14   73   70  0  0 100  0
 0  0   2928 1681764 363564 532136    0    0     0     4   81   71  0  0 100  0
