yogafire 2017-04-18 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 2529664 129296 200212    0    0     2     9   38   29  0  0 99  0
 0  0      0 2529632 129304 200240    0    0     0     9   88   89  0  0 100  0
 0  0      0 2529632 129316 200244    0    0     0     7   76   81  0  0 100  0
 0  0      0 2529632 129332 200244    0    0     0    14   78   80  0  0 100  0
 0  0      0 2529632 129356 200248    0    0     0     7  101  102  0  0 100  0
 0  0      0 2529632 129360 200248    0    0     0    13   97  100  0  1 99  0
 0  0      0 2529632 129376 200260    0    0     0     6  104   95  0  0 100  0
 0  0      0 2529632 129388 200264    0    0     0     7  120  124  0  0 100  0
 0  0      0 2529880 129400 200264    0    0     0     8  100  103  0  1 99  0
 0  0      0 2529880 129416 200276    0    0     0    12   72   75  0  0 100  0
 0  0      0 2529880 129432 200276    0    0     0     7   83   92  0  0 100  0
 0  0      0 2528392 129452 200308    0    0     0    37  145  132  1  0 99  0
 2  0      0 2527648 129464 200320    0    0     0     9  129  113  0  1 99  0
 0  0      0 2527648 129488 200324    0    0     0    19   99   82  0  0 100  0
 0  0      0 2527648 129504 200324    0    0     0     8   69   66  0  0 100  0
 0  0      0 2527648 129516 200324    0    0     0    11   68   71  0  0 100  0
 0  0      0 2527012 129540 200324    0    0     1    19  194  154  0  0 99  0
 0  0      0 2527392 129560 200416    0    0     5    31  191  171  0  1 99  0
 0  0      0 2524996 129724 200444    0    0    11    21  230  177  0  1 98  0
 0  0      0 2524996 129740 200444    0    0     0    22  107  112  0  0 100  0
 0  0      0 2524996 129748 200444    0    0     0     8  103   99  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 2524896 129764 200456    0    0     0    14  185  141  0  2 98  0
 0  0      0 2525020 129780 200464    0    0     0     9   80   80  0  0 100  0
 0  0      0 2525020 129796 200464    0    0     0    12  103  105  0  0 100  0
 2  1      0 2521980 129820 200464    0    0     0    18  148  126  0  1 99  0
 0  0      0 2519132 129840 200500    0    0     0    41  230  182  1  1 98  0
 0  0      0 2517248 129856 200516    0    0     0    10  199  172  0  0 99  0
 0  0      0 2515976 129868 200532    0    0     0    29  148  123  0  0 99  0
 0  0      0 2515604 129872 200536    0    0     0    26  105   93  0  0 100  0
 0  0      0 2514984 129884 200540    0    0     0    24  135  122  0  1 99  0
 0  0      0 2515620 129896 200552    0    0     0     6  116  102  0  0 100  0
 0  0      0 2517008 129904 200552    0    0     0     9  104   81  0  0 100  0
 0  0      0 2517008 129916 200556    0    0     0     9   87  156  0  0 100  0
 0  0      0 2516884 129928 200568    0    0     0    11  126  115  0  1 99  0
 0  0      0 2518528 129936 200568    0    0     0    11  116  111  0  0 100  0
 0  0      0 2518132 129968 200628    0    0     3    60  164  176  0  0 99  0
 0  0      0 2517760 130008 200640    0    0     1    67  141  142  0  0 99  0
 0  0      0 2516892 130020 200652    0    0     0    15  150  139  0  1 98  0
 0  0      0 2517008 130040 200660    0    0     0    35  166  144  1  0 99  0
 0  0      0 2517008 130052 200660    0    0     0    10   60   66  0  0 100  0
 3  0      0 2515892 130088 200580    0    0     0   213  210  165  1  1 97  0
 0  0      0 2516264 130104 200592    0    0     0    14  100   90  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 2516264 130116 200592    0    0     0    11  117   96  0  0 100  0
 0  0      0 2516520 130124 200596    0    0     0    12   97   76  0  0 100  0
 1  0      0 2516520 130136 200604    0    0     0     7  116   92  0  0 100  0
 0  0      0 2516636 130152 200612    0    0     0    22  109   92  0  1 99  0
 0  0      0 2516636 130164 200616    0    0     0     8   92   80  0  0 100  0
 0  0      0 2517396 130172 200616    0    0     0     6   94   73  0  0 100  0
 0  0      0 2517256 130180 200628    0    0     0     8  129   96  0  1 99  0
 0  0      0 2517272 130188 200640    0    0     0     8  103   91  0  0 100  0
 0  0      0 2517272 130200 200640    0    0     0     4   73   74  0  0 100  0
 0  0      0 2517016 130236 200680    0    0     1    71  162  127  1  0 99  0
 3  0      0 2516768 130244 200684    0    0     0     9  105   97  0  1 99  0
 0  0      0 2516768 130256 200692    0    0     0    23  101   91  0  0 100  0
 0  0      0 2516768 130256 200692    0    0     0     3   56   66  0  0 100  0
 0  0      0 2516768 130264 200692    0    0     0     6   71   73  0  0 100  0
 0  0      0 2516768 130280 200696    0    0     0     7  106  103  0  0 100  0
 0  0      0 2516520 130300 200700    0    0     0    11  126   97  0  1 99  0
 0  0      0 2518032 130320 200708    0    0     0    12  110   91  0  0 100  0
 0  0      0 2518660 130328 200712    0    0     0     7  118  101  0  0 100  0
 0  0      0 2518660 130340 200716    0    0     0    10   85   88  0  0 100  0
 0  0      0 2518288 130352 200720    0    0     0    11  137  108  0  1 98  0
 0  0      0 2518288 130364 200736    0    0     0    10  108   87  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 2518288 130380 200736    0    0     0    10   77   73  0  0 100  0
 2  0      0 2518288 130384 200736    0    0     0     8  102   85  0  0 100  0
 0  0      0 2518536 130392 200748    0    0     0    13  114   88  0  1 99  0
 0  0      0 2518536 130400 200752    0    0     0     6   81   87  0  0 100  0
 0  0      0 2518412 130412 200756    0    0     0     9   94  105  0  0 100  0
 0  0      0 2518412 130428 200756    0    0     0     7   69   78  0  0 100  0
 0  0      0 2517296 130452 200800    0    0     0    41  167  146  1  1 98  0
 0  0      0 2517296 130456 200800    0    0     0    10   98   89  0  0 100  0
 0  0      0 2517296 130464 200800    0    0     0     6   69   72  0  0 100  0
 0  0      0 2517296 130472 200808    0    0     0    12   70   73  0  0 100  0
 0  0      0 2516552 130496 200808    0    0     0    11  124  111  0  1 99  0
 0  0      0 2516428 130504 200808    0    0     0    13   75   74  0  0 100  0
