yogafire 2017-04-24 00:00:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 1602060 426604 518196    0    0     4     7   11    8  0  0 99  0
 0  0      0 1602544 426604 518208    0    0     0    10   79   70  0  0 100  0
 0  0      0 1602544 426604 518208    0    0     0     1   63   65  0  0 100  0
 0  0      0 1602544 426608 518208    0    0     0     5   63   65  0  0 100  0
 1  0      0 1595852 426608 518192    0    0     0    32  248  236  0  1 98  0
 0  0      0 1593472 426656 518332    0    0     0    76  285  265  0  1 99  0
 0  0      0 1593472 426668 518336    0    0     0    34   74   69  0  0 100  0
 0  0      0 1591860 426676 518340    0    0     0     8  108   84  0  0 99  0
 0  0      0 1591580 426680 518340    0    0     0     3  100   88  0  1 99  0
 0  0      0 1591364 426688 518340    0    0     0    10   83   78  0  0 100  0
 0  0      0 1591364 426688 518340    0    0     0     2   69   75  0  0 100  0
 0  0      0 1595504 426688 518340    0    0     0    19   80   73  0  0 100  0
 2  0      0 1600364 426700 518340    0    0     0     5  100   87  0  1 99  0
 0  0      0 1601048 426700 518340    0    0     0     5   72   71  0  0 100  0
 0  0      0 1598140 426708 518376    0    0     0    21  141  122  0  0 99  0
 0  0      0 1597460 426724 518380    0    0     0    30  108   90  1  0 99  0
 0  0      0 1596660 426728 518380    0    0     0    10   98   87  0  1 99  0
 0  0      0 1596716 426728 518380    0    0     0     9   65   68  0  0 100  0
 0  0      0 1596848 426728 518388    0    0     0     3   83   76  0  0 100  0
 0  0      0 1596848 426728 518388    0    0     0     9   67   70  0  0 100  0
 1  0      0 1598064 426728 518388    0    0     0     1  107   91  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1600492 426732 518388    0    0     0    13   97   76  0  0 100  0
 0  0      0 1601244 426736 518388    0    0     0     1   82   74  0  0 100  0
 0  0      0 1601244 426736 518388    0    0     0     1   79   73  0  0 100  0
 0  0      0 1598444 426744 518348    0    0     0     5  174  150  0  1 99  0
 1  0      0 1595444 426784 518504    0    0     0   104  305  264  0  1 99  0
 0  0      0 1593932 426792 518544    0    0     0    13  137   98  1  0 98  0
 0  0      0 1592876 426800 518552    0    0     0    58  101   91  0  0 100  0
 0  0      0 1592092 426808 518552    0    0     0     1   97   80  0  1 99  0
 1  0      0 1592256 426808 518552    0    0     0    14   74   71  0  0 100  0
 0  0      0 1592256 426812 518560    0    0     0     3   95   89  0  0 100  0
 0  0      0 1592256 426812 518560    0    0     0     4   79   72  0  0 100  0
 0  0      0 1598124 426820 518560    0    0     0     4  128  101  0  1 99  0
 1  0      0 1599196 426824 518560    0    0     0     5   85   72  0  0 100  0
 0  0      0 1599948 426828 518560    0    0     0     5   77   69  0  0 100  0
 0  0      0 1599948 426840 518560    0    0     0     5   83   75  0  0 100  0
 0  0      0 1599884 426844 518120    0    0     0     3  115  108  0  1 99  0
 1  0      0 1598544 426856 518192    0    0     0    19  116  109  0  0 100  0
 0  0      0 1598544 426864 518192    0    0     0     2   68   62  0  0 100  0
 0  0      0 1598552 426864 518192    0    0     0    10   70   63  0  0 100  0
 3  0      0 1595380 426864 518264    0    0     0    51  261  182  3  2 96  0
 1  0      0 1595460 426864 518264    0    0     0    22  109  105  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1595460 426864 518264    0    0     0     6   75   76  0  0 100  0
 0  0      0 1597080 426864 518264    0    0     0     7   75   75  0  0 100  0
 0  0      0 1596008 426868 518244    0    0     0    21  179  162  0  1 99  0
 1  0      0 1594800 426880 518348    0    0     0    60  230  213  0  0 99  0
 0  0      0 1592800 426880 518352    0    0     0    31   99   95  0  0 100  0
 0  0      0 1591940 426884 518360    0    0     0    10  107   85  0  0 99  0
 0  0      0 1591776 426884 518364    0    0     0    11   95   86  0  1 99  0
 0  0      0 1591940 426888 518368    0    0     0     9   62   65  0  0 100  0
 0  0      0 1591056 426892 518388    0    0     0    26  115  100  1  0 99  0
 0  0      0 1591056 426892 518388    0    0     0    28   61   65  0  0 100  0
 0  0      0 1595064 426908 518388    0    0     0    19  133  116  0  1 99  0
 0  0      0 1595344 426912 518388    0    0     0    11   74   72  0  0 100  0
 0  0      0 1595344 426916 518388    0    0     0     2   63   64  0  0 100  0
 0  0      0 1595220 426924 518388    0    0     0     2   57   69  0  0 100  0
 0  0      0 1595320 426932 518388    0    0     0     2   87   86  0  1 99  0
 0  0      0 1595980 426940 518396    0    0     0     7   78   73  0  0 100  0
 0  0      0 1598484 426940 518396    0    0     0     7   69   72  0  0 100  0
 0  0      0 1599740 426944 518400    0    0     0     6   66   70  0  0 100  0
 0  0      0 1599180 426944 518400    0    0     0     1   91   78  0  2 98  0
 0  0      0 1599740 426948 518404    0    0     0    11   69   66  0  0 100  0
 0  0      0 1599740 426952 518404    0    0     0     1   58   64  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1599740 426952 518404    0    0     0     5   67   69  0  0 100  0
 0  0      0 1597304 426952 518336    0    0     0     3  168  156  0  1 99  0
 0  0      0 1591908 427000 518516    0    0     0   106  378  341  1  1 99  0
 0  0      0 1591908 427004 518572    0    0     0    43  106  103  0  0 100  0
 0  0      0 1591908 427004 518572    0    0     0    32   61   70  0  0 100  0
 0  0      0 1590016 427004 518572    0    0     0     3   84   80  0  1 99  0
 0  0      0 1587288 427016 518620    0    0     0    38  168  136  1  0 98  0
 0  0      0 1587288 427024 518636    0    0     0    17   84   80  0  0 100  0
 0  0      0 1587288 427028 518636    0    0     0    10   60   65  0  0 100  0
 0  0      0 1591304 427032 518636    0    0     0     5  107   88  0  1 99  0
 0  0      0 1591576 427032 518636    0    0     0     6   65   63  0  0 100  0
 0  0      0 1591576 427032 518636    0    0     0     8   61   67  0  0 100  0
 0  0      0 1593320 427036 518636    0    0     0     4   78   78  0  0 100  0
 0  0      0 1597228 427040 518636    0    0     0     1  117  100  0  1 99  0
 0  0      0 1596220 427048 518640    0    0     0    20  119  117  0  0 100  0
 0  0      0 1596236 427048 518640    0    0     0     1   69   73  0  0 100  0
 0  0      0 1596236 427056 518644    0    0     0    17   96   93  0  0 100  0
yogafire 2017-04-24 00:20:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 1596232 427056 518644    0    0     4     7   11    8  0  0 99  0
 0  0      0 1596608 427060 518644    0    0     0     8   87   82  0  0 100  0
 0  0      0 1596608 427060 518652    0    0     0     9   78   78  0  0 100  0
 0  0      0 1596616 427060 518652    0    0     0     2   73   77  0  0 100  0
 0  0      0 1595536 427068 518616    0    0     0     4  155  142  0  1 99  0
 0  0      0 1595080 427088 518740    0    0     0    95  242  217  0  0 99  0
 0  0      0 1595080 427088 518740    0    0     0    11   69   76  0  0 100  0
 0  0      0 1594956 427096 518740    0    0     0    15  108   95  0  0 99  0
 0  0      0 1594396 427100 518740    0    0     0     3   98   85  0  1 99  0
 0  0      0 1594212 427104 518740    0    0     0     6   76   79  0  0 100  0
 0  0      0 1594212 427108 518740    0    0     0     5   73   66  0  0 100  0
 0  0      0 1595336 427112 518740    0    0     0    16   76   76  0  0 100  0
 2  0      0 1599684 427120 518752    0    0     0     8  162  130  0  1 99  0
 0  0      0 1599624 427120 518756    0    0     0     6   93   80  0  0 100  0
 0  0      0 1599624 427132 518756    0    0     0    14   84   69  0  0 100  0
 0  0      0 1599624 427132 518760    0    0     0     1   66   65  0  0 100  0
 0  0      0 1599624 427132 518760    0    0     0     3   69   73  0  0 100  0
 0  0      0 1599500 427136 518764    0    0     0    12   84   85  0  1 99  0
 0  0      0 1599500 427136 518764    0    0     0     2   57   63  0  0 100  0
 0  0      0 1599632 427136 518764    0    0     0     6   54   66  0  0 100  0
 0  0      0 1599632 427140 518764    0    0     0     1   56   72  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1601252 427144 518768    0    0     0     8  102   98  0  2 98  0
 0  0      0 1601252 427152 518768    0    0     0     5   67   69  0  0 100  0
 0  0      0 1601252 427152 518768    0    0     0     3   62   67  0  0 100  0
 2  0      0 1597964 427160 518736    0    0     0    26  162  147  0  1 99  0
 0  0      0 1594808 427192 518872    0    0     0    85  293  244  0  1 98  0
 0  0      0 1594808 427192 518872    0    0     0    13   71   68  0  0 100  0
 2  0      0 1594808 427196 518872    0    0     0    17   73   69  0  0 100  0
 0  0      0 1592660 427196 518884    0    0     0     6  126   98  1  0 99  0
 0  0      0 1592296 427224 518904    0    0     0    42  142  118  0  1 99  0
 0  0      0 1592296 427224 518904    0    0     0    14   61   65  0  0 100  0
 0  0      0 1592304 427228 518904    0    0     0     3   62   64  0  0 100  0
 0  0      0 1593280 427228 518904    0    0     0     1   94   98  0  1 99  0
 0  0      0 1593328 427232 518940    0    0     0    46  121   96  1  0 99  0
 0  0      0 1593328 427232 518940    0    0     0     1   59   64  0  0 100  0
 1  0      0 1594328 427236 518940    0    0     0    12   82   80  0  0 100  0
 0  0      0 1597468 427240 518940    0    0     0     1   90   83  0  1 99  0
 0  0      0 1597236 427248 518940    0    0     0     6   59   63  0  0 100  0
 0  0      0 1597236 427248 518940    0    0     0     7   62   67  0  0 100  0
 0  0      0 1597732 427256 518940    0    0     0    26  116  111  0  0 99  0
 0  0      0 1596964 427256 518948    0    0     0    14  116  107  0  1 99  0
 0  0      0 1597360 427260 518948    0    0     0     8   99   99  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1      0 1597616 427264 518956    0    0     0     5   79   77  0  0 100  0
 0  0      0 1597740 427268 518956    0    0     0     5   74   77  0  0 100  0
 0  0      0 1595592 427268 518940    0    0     0    20  162  143  0  1 99  0
 0  0      0 1594328 427300 519036    0    0     0    84  234  195  1  0 99  0
 0  0      0 1594328 427304 519036    0    0     0     6   66   73  0  0 100  0
 0  0      0 1594204 427316 519040    0    0     0    26  109  100  0  0 99  0
 0  0      0 1593676 427316 519040    0    0     0     1   96   93  0  1 99  0
 0  0      0 1593584 427316 519040    0    0     0     8   62   75  0  0 100  0
 0  0      0 1593584 427316 519040    0    0     0     7   62   70  0  0 100  0
 0  0      0 1594716 427324 519040    0    0     0    16   77   91  0  0 100  0
 0  0      0 1598940 427328 519040    0    0     0     2  119   95  0  1 99  0
 0  0      0 1599004 427332 519040    0    0     0     5   77   80  0  0 100  0
 0  0      0 1600128 427336 519040    0    0     0     1   73   76  0  0 100  0
 0  0      0 1600128 427336 519040    0    0     0     4   70   80  0  0 100  0
 2  0      0 1600128 427340 519040    0    0     0     1   80   87  0  0 100  0
 0  0      0 1600128 427348 519040    0    0     0    11   96  106  0  1 99  0
 0  0      0 1599864 427348 519040    0    0     0     4   99  101  0  0 100  0
 0  0      0 1598608 427356 519088    0    0     0    50  156  126  1  0 98  0
 0  0      0 1598600 427356 519092    0    0     0     2   67   66  0  0 100  0
 0  0      0 1596948 427404 518100    0    0    31   119  305  339  1  6 93  0
 0  0      0 1597072 427404 518108    0    0     0    20   68   70  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1597072 427408 518108    0    0     0     5   59   72  0  0 100  0
 0  0      0 1594644 427420 518036    0    0     0     2  189  196  0  1 99  0
 0  0      0 1589760 427464 518228    0    0     0   139  438  407  0  1 98  0
 0  0      0 1589768 427488 518288    0    0     0    38   97   86  0  0 100  0
 0  0      0 1590684 427496 518288    0    0     0    26   71   68  0  0 100  0
 0  0      0 1591760 427496 518288    0    0     0     1   90   79  0  1 99  0
 0  0      0 1590652 427512 518328    0    0     0    15  162  121  1  0 98  0
 0  0      0 1590156 427524 518332    0    0     0    41   85   83  0  0 100  0
 0  0      0 1586156 427544 518504    0    0     0    52  243  154  4  1 95  0
 0  0      0 1593940 427560 518532    0    0     0    39  151  140  0  1 99  0
 0  0      0 1593956 427560 518536    0    0     0    25   70   80  0  0 100  0
 0  0      0 1593956 427568 518536    0    0     0     2   62   66  0  0 100  0
 0  0      0 1593956 427572 518536    0    0     0    10   71   73  0  0 100  0
 4  0      0 1593868 427572 518536    0    0     0     1   92   87  0  1 99  0
 0  0      0 1594212 427576 518536    0    0     0     8   99   90  0  0 99  0
 0  0      0 1595988 427580 518536    0    0     0     6   80   68  0  0 100  0
 0  0      0 1597880 427584 518536    0    0     0     3   88   80  0  0 100  0
yogafire 2017-04-24 00:40:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1598008 427592 518540    0    0     4     7   11    8  0  0 99  0
 0  0      0 1598376 427592 518540    0    0     0     8   77   73  0  0 100  0
 0  0      0 1598484 427600 518544    0    0     0     7   99   92  0  0 100  0
 0  0      0 1598484 427600 518544    0    0     0     6   62   65  0  0 100  0
 0  0      0 1593816 427604 518536    0    0     0    22  182  162  0  1 99  0
 0  0      0 1593576 427620 518604    0    0     0    46  164  134  0  0 99  0
 0  0      0 1593576 427624 518604    0    0     0    26   70   72  0  0 100  0
 0  0      0 1593080 427632 518608    0    0     0     5   93   88  0  0 100  0
 0  0      0 1592336 427640 518608    0    0     0     4   90   87  0  1 99  0
 0  0      0 1593468 427640 518608    0    0     0    11   79   80  0  0 100  0
 0  0      0 1593468 427640 518608    0    0     0     2   62   66  0  0 100  0
 0  0      0 1596360 427640 518608    0    0     0    16   73   68  0  0 100  0
 2  0      0 1598064 427640 518608    0    0     0     6  104   99  0  1 99  0
 0  0      0 1598500 427644 518608    0    0     0     5   71   73  0  0 100  0
 0  0      0 1598376 427656 518608    0    0     0     6   67   70  0  0 100  0
 0  0      0 1598376 427656 518608    0    0     0     1   75   80  0  0 100  0
 0  0      0 1596576 427672 518660    0    0     0    31  203  170  2  1 97  0
 0  0      0 1596732 427672 518660    0    0     0    18   77   74  0  0 100  0
 1  0      0 1597112 427684 518660    0    0     0     9   95   95  0  0 100  0
 0  0      0 1597112 427688 518660    0    0     0     7   67   65  0  0 100  0
 0  0      0 1596832 427692 518660    0    0     0     2   97   87  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1596988 427692 518660    0    0     0     6   67   70  0  0 100  0
 0  0      0 1596988 427696 518660    0    0     0     5   65   77  0  0 100  0
 0  0      0 1598756 427700 518660    0    0     0     1   89   76  0  0 100  0
 0  0      0 1595684 427700 518572    0    0     0     8  205  182  0  1 99  0
 0  0      0 1588784 427736 518748    0    0     0   134  473  446  1  1 98  0
 0  0      0 1588536 427752 518848    0    0     0    85  163  158  0  0 100  0
 0  0      0 1588536 427756 518848    0    0     0    27   55   66  0  0 100  0
 0  0      0 1587544 427760 518848    0    0     0     5   86   89  0  1 99  0
 0  0      0 1587296 427772 518852    0    0     0     8   81   90  0  0 100  0
 1  0      0 1587296 427776 518852    0    0     0     7   68   74  0  0 100  0
 0  0      0 1587296 427788 518852    0    0     0     4   66   70  0  0 100  0
 0  0      0 1596996 427792 518852    0    0     0     3  128  119  0  1 99  0
 0  0      0 1597632 427800 518852    0    0     0    11   69   71  0  0 100  0
 2  0      0 1597632 427800 518852    0    0     0     1   64   71  0  0 100  0
