yogafire 2017-04-21 00:00:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1654876 416376 508220    0    0     6     9   32   28  0  0 99  0
 0  0      0 1655484 416388 508248    0    0     0    30   74   69  0  0 100  0
 0  0      0 1655484 416388 508248    0    0     0     1   51   63  0  0 100  0
 0  0      0 1655484 416388 508248    0    0     0     7   52   62  0  0 100  0
 0  0      0 1652708 416392 508228    0    0     0     1  191  195  0  1 99  0
 0  0      0 1650520 416436 508356    0    0     0    89  266  252  0  1 99  0
 0  0      0 1650520 416444 508356    0    0     0    28   50   63  0  0 100  0
 0  0      0 1650520 416448 508356    0    0     0     3   53   68  0  0 100  0
 0  0      0 1649348 416448 508356    0    0     0     5   86   83  0  1 99  0
 0  0      0 1649412 416448 508356    0    0     0     4   56   68  0  0 100  0
 0  0      0 1648124 416448 508384    0    0     0     7  104   92  1  0 99  0
 0  0      0 1647132 416452 508396    0    0     0    31   76   92  0  0 100  0
 1  0      0 1651768 416456 508396    0    0     0     1   96   96  0  1 99  0
 0  0      0 1651552 416460 508396    0    0     0    20   56   79  0  0 100  0
 0  0      0 1651552 416460 508396    0    0     0     1   59   83  0  0 100  0
 0  0      0 1651552 416464 508396    0    0     0     3   65   85  0  0 100  0
 0  0      0 1651808 416464 508396    0    0     0     1   84   89  0  1 99  0
 1  0      0 1653312 416468 508396    0    0     0     5   84   90  0  0 100  0
 0  0      0 1654320 416468 508396    0    0     0     6   62   69  0  0 100  0
 0  0      0 1654320 416472 508396    0    0     0     3   56   68  0  0 100  0
 0  0      0 1652940 416472 508396    0    0     0     1  114  113  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1653568 416472 508396    0    0     0     9   62   61  0  0 100  0
 0  0      0 1653568 416472 508396    0    0     0     1   55   65  0  0 100  0
 0  0      0 1653568 416480 508396    0    0     0     1   79   89  0  0 100  0
 0  0      0 1651080 416492 508448    0    0     0   145  201  149  1  1 98  0
 0  0      0 1651420 416516 508492    0    0     0    42  124  105  1  0 99  0
 0  0      0 1651420 416524 508492    0    0     0     9   47   58  0  0 100  0
 0  0      0 1651420 416524 508492    0    0     0    17   49   60  0  0 100  0
 0  0      0 1651172 416524 508492    0    0     0     2   73   76  0  1 99  0
 0  0      0 1651048 416528 508492    0    0     0     9   50   65  0  0 100  0
 0  0      0 1651048 416536 508492    0    0     0     2   47   59  0  0 100  0
 0  0      0 1649528 416560 508596    0    0     0    45  213  156  3  1 97  0
 0  0      0 1648784 416564 508564    0    0     0    17   91   89  0  1 99  0
 0  0      0 1648908 416580 508584    0    0     0    37  110   98  1  0 99  0
