yogafire 2017-04-04 00:00:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0   2932 494472 366012 1709500    0    0     0     1    0    1  0  0 99  0
 0  0   2932 494908 366016 1709516    0    0     0     7   88   72  0  0 100  0
 0  0   2932 494784 366020 1709516    0    0     0     6   61   67  0  0 100  0
 1  0   2932 494908 366020 1709516    0    0     0     3   68   68  0  0 100  0
 0  0   2932 493652 366024 1709524    0    0     0     9  123   94  0  1 99  0
 0  0   2932 492496 366036 1709528    0    0     0    10  146  128  0  0 99  0
 0  0   2932 490224 366088 1709596    0    0     1   106  226  182  1  1 98  0
 1  0   2932 489612 366108 1709608    0    0     0    38  104   77  0  0 99  0
 0  0   2932 489580 366120 1709608    0    0     0    18  132   91  0  1 99  0
 0  0   2932 488116 366140 1709636    0    0     1    70  138  105  1  0 99  0
 1  0   2932 487596 366176 1709696    0    0     2   115  209  181  1  1 98  0
 0  0   2932 487612 366212 1709744    0    0     0    38  121  103  0  0 100  0
 0  0   2932 487092 366220 1709744    0    0     0    21  105   77  0  1 99  0
 0  0   2932 486992 366224 1709744    0    0     0     9   82   68  0  0 100  0
 1  0   2932 486992 366228 1709744    0    0     0     7   69   67  0  0 100  0
 0  0   2932 487148 366244 1709776    0    0     0    34  145  115  1  0 99  0
 0  0   2932 486760 366244 1709776    0    0     0     1  103   89  0  1 99  0
 0  0   2932 487776 366244 1709776    0    0     0    17   92   65  0  0 100  0
 0  0   2932 488544 366252 1709776    0    0     0     6   94   90  0  0 100  0
 0  0   2932 488272 366304 1709856    0    0     1    91  200  198  1  1 98  0
 0  0   2932 486604 366308 1709876    0    0     0    31  123   99  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 487280 366324 1709880    0    0     0     8   97   75  0  0 100  0
 0  0   2932 485148 366392 1709952    0    0     1   105  208  192  1  1 98  0
 0  0   2932 486652 366428 1710000    0    0     1    69  121   97  0  0 99  0
 0  0   2932 486264 366428 1710000    0    0     0    28  101   78  0  1 99  0
 0  0   2932 486280 366436 1710000    0    0     0     8   74   66  0  0 100  0
 0  0   2932 486280 366440 1710000    0    0     0     1   64   73  0  0 100  0
 1  0   2932 486868 366456 1710044    0    0     0    40  135  119  1  0 99  0
 0  0   2932 484604 366492 1710064    0    0     0    46  202  174  0  1 99  0
 0  0   2932 485736 366504 1710068    0    0     0    27   94   76  0  0 100  0
 0  0   2932 485736 366540 1710232    0    0     9    98  173  145  1  1 98  0
 0  0   2932 485736 366544 1710232    0    0     0    10   70   69  0  0 100  0
 0  0   2932 485488 366544 1710232    0    0     0    13   98   79  0  1 99  0
 0  0   2932 485736 366544 1710232    0    0     0     6   76   65  0  0 100  0
 0  0   2932 485736 366548 1710232    0    0     0    11   91   94  0  0 100  0
 0  0   2932 488000 366568 1710324    0    0     2    94  191  160  1  0 98  0
 0  0   2932 487496 366576 1710328    0    0     0    21  124   88  0  2 98  0
 5  0   2932 476504 366612 1710400    0    0     1    68  244  178  1  1 97  0
 0  0   2932 482216 366684 1710532    0    0     5   195  322  229  3  2 95  0
 0  0   2932 482216 366688 1710532    0    0     0    26   80   66  0  0 100  0
 0  0   2932 481316 366712 1710544    0    0     0    51  169  122  0  2 98  0
 0  0   2932 481596 366720 1710544    0    0     0    19   94   70  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 481596 366728 1710544    0    0     0     3   72   67  0  0 100  0
 0  0   2932 481596 366740 1710544    0    0     0     4   86   75  0  0 100  0
 0  0   2932 481704 366752 1710548    0    0     0     6  107   87  0  1 99  0
 0  0   2932 486008 366752 1710552    0    0     0     6  107   70  0  0 100  0
 0  0   2932 485884 366764 1710556    0    0     0     3   56   61  0  0 100  0
 0  0   2932 489660 366768 1710556    0    0     0     6   81   63  0  0 100  0
 0  0   2932 487140 366808 1710604    0    0     0    47  229  178  0  1 99  0
 0  0   2932 487132 366812 1710608    0    0     0    18   80   65  0  0 100  0
 0  0   2932 488636 366816 1710608    0    0     0     6   67   72  0  0 100  0
 0  0   2932 488636 366820 1710608    0    0     0     2   66   79  0  0 100  0
 0  0   2932 487132 366824 1710612    0    0     0     4  113  101  0  1 99  0
 0  0   2932 486868 366840 1710616    0    0     0    26  146  106  1  0 99  0
 0  0   2932 486868 366844 1710616    0    0     0     1   57   58  0  0 100  0
 0  0   2932 488016 366860 1710616    0    0     0    13   75   61  0  0 100  0
 0  0   2932 488264 366868 1710612    0    0     0     4   93   72  0  1 99  0
 0  0   2932 488016 366868 1710616    0    0     0     5   71   63  0  0 100  0
 0  0   2932 488016 366868 1710616    0    0     0     7   67   69  0  0 100  0
 0  0   2932 488016 366868 1710616    0    0     0     1   63   60  0  0 100  0
 0  0   2932 490644 366868 1710620    0    0     0     3  131   83  0  2 98  0
 0  0   2932 490916 366872 1710620    0    0     0     5   77   63  0  0 100  0
 0  0   2932 490916 366880 1710620    0    0     0     2   63   67  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 490916 366880 1710620    0    0     0     6   79   74  0  0 100  0
 0  0   2932 491040 366880 1710620    0    0     0     1  103   83  0  1 99  0
 0  0   2932 492164 366888 1710620    0    0     0     5   85   70  0  0 100  0
 0  0   2932 492544 366888 1710628    0    0     0     5   67   68  0  0 100  0
 0  0   2932 492544 366896 1710628    0    0     0     3   67   62  0  0 100  0
 0  0   2932 486224 366928 1710676    0    0     0    74  254  208  0  2 98  0
 0  0   2932 486248 366936 1710676    0    0     0    27   90   66  0  0 100  0
 0  0   2932 484572 366956 1710712    0    0     0    24  147  119  1  0 99  0
 0  0   2932 484596 366972 1710696    0    0     0    16   95   80  0  0 100  0
 0  0   2932 483852 366976 1710696    0    0     0     9  106   89  0  1 99  0
 0  0   2932 483728 366988 1710700    0    0     0    10   75   69  0  0 100  0
 0  0   2932 483736 366988 1710700    0    0     0     9   61   67  0  0 100  0
 0  0   2932 484876 366988 1710700    0    0     0     1   80   71  0  0 100  0
 1  0   2932 484992 366988 1710700    0    0     0     1   95   82  0  1 99  0
 0  0   2932 489868 366992 1710700    0    0     0     8  102   86  0  0 100  0
 0  0   2932 490048 366992 1710700    0    0     0     1   63   76  0  0 100  0
 0  0   2932 490048 366992 1710700    0    0     0     1   70   62  0  0 100  0
yogafire 2017-04-04 00:20:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2932 490420 366992 1710700    0    0     0     1    0    1  0  0 99  0
 0  0   2932 490668 366992 1710704    0    0     0     6   85   67  0  0 100  0
 0  0   2932 490668 367000 1710704    0    0     0     3   51   59  0  0 100  0
 0  0   2932 491296 367000 1710704    0    0     0     6   63   60  0  0 100  0
 0  0   2932 492040 367008 1710696    0    0     0     7  104   86  0  1 99  0
 0  0   2932 492172 367012 1710704    0    0     0     7   80   70  0  0 100  0
 0  0   2932 492048 367020 1710704    0    0     0     1   60   84  0  0 100  0
 0  0   2932 492172 367020 1710704    0    0     0     2   69   74  0  0 100  0
 0  0   2932 484240 367076 1710768    0    0     0    94  290  238  1  1 98  0
 0  0   2932 484116 367080 1710768    0    0     0     8   73   71  0  0 100  0
 0  0   2932 484116 367088 1710768    0    0     0    22   66   81  0  0 100  0
 0  0   2932 484364 367108 1710828    0    0     2    97  120  103  1  0 99  0
 2  0   2932 483868 367108 1710828    0    0     0     1   84   81  0  0 100  0
 0  0   2932 483868 367124 1710832    0    0     0    14   99  100  0  1 99  0
 0  0   2932 483868 367132 1710832    0    0     0     2   60   73  0  0 100  0
 0  0   2932 488024 367132 1710832    0    0     0     7   91   90  0  0 100  0
 0  0   2932 488024 367136 1710832    0    0     0     1   95   79  0  1 99  0
 0  0   2932 488776 367156 1710860    0    0     1    65  129  100  0  0 99  0
 0  0   2932 486892 367168 1710860    0    0     0    20  119  105  0  0 99  0
 0  0   2932 486892 367180 1710860    0    0     0     7   65   66  0  0 100  0
 0  0   2932 484316 367200 1710872    0    0     0    29  167  140  1  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 485156 367200 1710876    0    0     0    11   97   79  0  0 100  0
 0  0   2932 485156 367200 1710876    0    0     0     2   62   71  0  0 100  0
 1  0   2932 485156 367204 1710884    0    0     0    14   83   84  0  0 100  0
 0  0   2932 486768 367208 1710884    0    0     0     1   86   76  0  0 100  0
 0  0   2932 487404 367212 1710884    0    0     0    13  101   94  0  1 99  0
 0  0   2932 487900 367228 1710892    0    0     0    26  114  111  1  0 99  0
 0  0   2932 487900 367232 1710892    0    0     0     6   71   70  0  0 100  0
 0  0   2932 483540 367268 1710940    0    0     0    63  265  214  0  1 98  0
 0  0   2932 483736 367272 1710944    0    0     0     6   90   66  0  0 100  0
 0  0   2932 484736 367284 1710944    0    0     0    20   66   60  0  0 100  0
 0  0   2932 484736 367288 1710944    0    0     0     3   71   64  0  0 100  0
 0  0   2932 484480 367292 1710944    0    0     0     4  107   76  0  1 99  0
 0  0   2932 486628 367296 1710940    0    0     0     6   91   63  0  0 100  0
 0  0   2932 486604 367300 1710972    0    0     0     7  115   92  1  0 99  0
 0  0   2932 488296 367304 1710976    0    0     0    34  107   79  0  0 100  0
 0  0   2932 487924 367312 1710976    0    0     0     1   90   71  0  1 99  0
 0  0   2932 487800 367316 1710976    0    0     0    16   79   65  0  0 100  0
 0  0   2932 487800 367320 1710976    0    0     0     3   69   63  0  0 100  0
 0  0   2932 487800 367328 1710976    0    0     0     2   64   64  0  0 100  0
 3  0   2932 487800 367328 1710976    0    0     0     2   79   65  0  0 99  0
 0  0   2932 489320 367332 1710976    0    0     0     5  111   79  0  1 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0   2932 489948 367332 1710976    0    0     0     1   68   63  0  0 100  0
 1  0   2932 489948 367332 1710976    0    0     0     5   69   68  0  0 100  0
 0  0   2932 491180 367336 1710976    0    0     0     5  111   82  0  1 99  0
 0  0   2932 491320 367340 1710980    0    0     0     5   86   66  0  0 100  0
 0  0   2932 491320 367344 1710980    0    0     0     5   64   68  0  0 100  0
 0  0   2932 491320 367344 1710980    0    0     0     2   81   80  0  0 100  0
 2  0   2932 490288 367344 1710980    0    0     0    11  117   84  0  1 99  0
 0  0   2932 490552 367344 1710980    0    0     0    13   92   66  0  0 100  0
 0  0   2932 490552 367344 1710980    0    0     0     1   56   57  0  0 100  0
 0  0   2932 490808 367348 1710980    0    0     0     1   70   58  0  0 100  0
 0  0   2932 490808 367356 1710980    0    0     0     2   78   63  0  0 100  0
 0  0   2932 489296 367356 1710988    0    0     0     7  121   86  0  1 99  0
 0  0   2932 488544 367368 1710984    0    0     0    23  127  105  1  0 99  0
 0  0   2932 488668 367376 1711000    0    0     0    17   77   65  0  0 100  0
 0  0   2932 488064 367376 1711000    0    0     0     1  108   92  0  1 99  0
 0  0   2932 487924 367376 1711000    0    0     0     6   82   71  0  0 100  0
 0  0   2932 487924 367380 1711000    0    0     0     5   65   80  0  0 100  0
 0  0   2932 487924 367384 1711000    0    0     0     2   67   82  0  0 100  0
 0  2   2932 484644 367392 1711220    0    0    24     2  123  105  0  4 96  0
 0  0   2932 489396 367464 1710012    0    0     8   107  274  246  2  3 95  1
 0  0   2932 489396 367464 1710012    0    0     0     1   68   69  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2932 489396 367464 1710012    0    0     0    18   70   79  0  0 100  0
 0  0   2932 489396 367468 1710012    0    0     0     1   76   69  0  0 100  0
 0  0   2932 489024 367476 1710016    0    0     0    12   96   81  0  1 99  0
 0  0   2932 489024 367480 1710016    0    0     0     1   62   67  0  0 100  0
