yogafire 2017-04-16 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   3020 1654724 383992 479056    0    0     0     0    1    0  0  0 99  0
 1  0   3020 1654072 383996 479084    0    0     0    10  119   92  0  0 100  0
 0  0   3020 1652008 384016 479132    0    0     0    46  202  152  1  0 98  0
 0  0   3020 1651892 384020 479140    0    0     0    11  150  107  0  0 100  0
 0  0   3020 1651380 384028 479148    0    0     0     9  117   89  0  1 99  0
 0  0   3020 1651272 384040 479164    0    0     0    19  144  114  0  0 100  0
 1  0   3020 1652396 384044 479172    0    0     0    12  142   98  0  0 100  0
 0  0   3020 1652016 384044 479180    0    0     0     8  113   99  0  0 100  0
 0  0   3020 1653024 384044 479184    0    0     0    10  150  128  0  1 99  0
 0  0   3020 1653164 384048 479196    0    0     0    13  125  102  0  0 100  0
 0  0   3020 1653164 384052 479204    0    0     0    15  119   89  0  0 100  0
 0  0   3020 1653164 384056 479216    0    0     0    12  124   88  0  0 100  0
 2  0   3020 1654164 384076 479212    0    0     0    12  124   94  0  0 99  0
 0  0   3020 1653908 384084 479236    0    0     0    11  146  109  0  0 100  0
 1  0   3020 1653908 384088 479244    0    0     0    10  134  112  0  0 100  0
 0  0   3020 1653784 384096 479252    0    0     0    10  129  112  0  0 100  0
 0  0   3020 1653272 384104 479256    0    0     0    10  145  121  0  1 99  0
 0  0   3020 1653288 384112 479268    0    0     0    11  120  112  0  0 100  0
 0  0   3020 1652140 384124 479292    0    0     0    28  170  136  1  0 99  0
 0  0   3020 1652140 384132 479292    0    0     0    22  110   81  0  0 100  0
 0  0   3020 1650744 384144 479304    0    0     0     8  155  123  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 1651280 384152 479312    0    0     0    15  136  109  0  0 100  0
