yogafire 2017-04-23 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1107888 415836 1013544    0    0     4     7    8    4  0  0 99  0
 0  0      0 1107592 415844 1013572    0    0     0    13  115  124  0  0 100  0
 0  0      0 1106584 415852 1013620    0    0     0     3   96   94  0  0 100  0
 0  0      0 1105948 415328 1013868    0    0     0   107  152  146  1  1 98  0
 0  0      0 1103684 415328 1013868    0    0     0    18  146  134  0  1 99  0
 0  0      0 1103428 415332 1013904    0    0     0    36  123  123  0  0 100  0
 0  0      0 1102428 415340 1013912    0    0     0    11  100  100  0  0 100  0
 0  0      0 1102428 415344 1013908    0    0     0    39   76   73  0  0 100  0
 0  0      0 1100940 415344 1013908    0    0     0     2   88   80  0  1 99  0
 0  0      0 1100940 415344 1013908    0    0     0     5   66   75  0  0 100  0
 0  0      0 1102956 415344 1013908    0    0     0     6   81   70  0  0 100  0
 0  0      0 1107648 415356 1013904    0    0     0     9  115   89  0  0 100  0
 3  0      0 1107648 415360 1013904    0    0     0     4   69   77  0  0 100  0
 0  0      0 1110904 415360 1013912    0    0     0     7   79   85  0  0 100  0
 0  0      0 1111408 415368 1013912    0    0     0     2   59   68  0  0 100  0
 0  0      0 1111408 415372 1013912    0    0     0     5   55   63  0  0 100  0
 0  0      0 1111408 415372 1013912    0    0     0     1   63   63  0  0 100  0
 0  0      0 1109376 415380 1013952    0    0     0    38  179  152  1  1 98  0
 0  0      0 1109376 415380 1013952    0    0     0     7   75   76  0  0 100  0
 0  0      0 1109376 415384 1013948    0    0     0    17  103   88  1  0 99  0
 0  0      0 1108880 415392 1013976    0    0     0    27   93   93  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1107888 415400 1013976    0    0     0     8  103  103  0  1 98  0
 0  0      0 1107888 415404 1013976    0    0     0    13   64   71  0  0 100  0
 0  0      0 1107888 415404 1013976    0    0     0     2   63   68  0  0 100  0
 2  0      0 1107104 415412 1013936    0    0     0    26  204  192  0  0 99  0
 0  0      0 1101452 415460 1014140    0    0     0   102  416  366  1  1 97  0
 0  0      0 1101452 415464 1014152    0    0     0    24   86   82  0  0 100  0
 0  0      0 1100948 415476 1014152    0    0     0    30   83   84  0  0 100  0
 0  0      0 1100948 415476 1014152    0    0     0     2   67   69  0  0 100  0
 0  0      0 1099832 415488 1014152    0    0     0    14  104   97  0  1 99  0
 0  0      0 1099832 415492 1014172    0    0     0     4   95  100  0  0 100  0
 0  0      0 1100956 415500 1014192    0    0     0    34  122   97  1  0 99  0
 0  0      0 1107384 415500 1014192    0    0     0     6  105   91  0  1 99  0
 0  0      0 1107260 415500 1014192    0    0     0     7   68   74  0  0 100  0
 0  0      0 1107516 415500 1014192    0    0     0    11   64   72  0  0 100  0
 0  0      0 1107516 415500 1014192    0    0     0     3   68   76  0  0 100  0
 0  0      0 1107516 415500 1014192    0    0     0     3  103  101  0  1 99  0
 0  0      0 1108764 415500 1014164    0    0     0     8   62   66  0  0 100  0
 0  0      0 1110152 415500 1014164    0    0     0     3   68   66  0  0 100  0
 0  0      0 1110036 415516 1014204    0    0     0    36  146  122  1  0 99  0
 0  0      0 1108796 415520 1014204    0    0     0     7   94   94  0  1 99  0
 0  0      0 1109168 415520 1014204    0    0     0    18   79   78  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1109168 415524 1014204    0    0     0     2   62   66  0  0 100  0
 0  0      0 1109292 415532 1014204    0    0     0     4   79   75  0  0 99  0
 0  0      0 1107524 415532 1014196    0    0     0     3  155  144  0  1 99  0
 0  0      0 1107292 415552 1014244    0    0     0    42  101   92  0  0 100  0
 0  0      0 1107292 415560 1014236    0    0     0     7   72   83  0  0 100  0
 0  0      0 1107292 415560 1014244    0    0     0    32   56   67  0  0 100  0
 0  0      0 1107292 415560 1014244    0    0     0     2   85   86  0  1 99  0
 0  0      0 1107292 415564 1014252    0    0     0     9   64   75  0  0 100  0
 0  0      0 1107292 415564 1014252    0    0     0     1   52   64  0  0 100  0
 0  0      0 1110820 415564 1014252    0    0     0     3   74   72  0  0 100  0
 2  0      0 1110820 415564 1014252    0    0     0     3   83   82  0  1 99  0
 0  0      0 1112068 415564 1014252    0    0     0     7   77   79  0  0 100  0
 0  0      0 1112068 415564 1014252    0    0     0     1   59   67  0  0 100  0
