yogafire 2017-04-11 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0   2940  92424 237412 2321368    0    0     1     0    0    0  0  0 99  0
 0  0   2940  92440 237416 2321384    0    0     0    13   92   74  0  0 100  0
 0  0   2940  92440 237416 2321384    0    0     0     1   77   71  0  0 100  0
 0  0   2940  93928 237416 2321384    0    0     0     3  116  112  0  0 100  0
 0  0   2940  92920 237424 2321384    0    0     0     5   82   82  0  0 99  0
 0  0   2940  92812 237432 2321384    0    0     0     5   78   82  0  0 100  0
 0  0   2940  93572 237440 2321384    0    0     0     2   85   79  0  0 100  0
 0  0   2940  93308 237456 2321384    0    0     0     9   87  105  0  0 100  0
 0  0   2940  89112 237484 2321444    0    0     0    53  211  138  2  1 97  0
 2  0   2940  89028 237500 2321452    0    0     0    30   81   80  0  0 100  0
 0  0   2940  89020 237512 2321460    0    0     0    11   83   77  0  0 100  0
 0  0   2940  89020 237520 2321460    0    0     0     1   58   59  0  0 100  0
 2  0   2940  88508 237528 2321460    0    0     0     7   64   70  0  0 100  0
 0  0   2940  88028 237536 2321460    0    0     0     6   92   91  0  0 100  0
 0  0   2940  88284 237552 2321468    0    0     0    10  117  120  0  0 99  0
 0  0   2940  88812 237576 2321572    0    0     5   140  110  103  1  0 99  0
 0  0   2940  89192 237584 2321572    0    0     0     2   66   70  0  0 100  0
 0  0   2940  89968 237584 2321572    0    0     0    21  107   96  0  1 99  0
 0  0   2940  90092 237588 2321572    0    0     0     1   69   68  0  0 100  0
 0  0   2940  90092 237596 2321576    0    0     0     7   77   93  0  0 100  0
 0  0   2940  89656 237604 2321576    0    0     0     3   94   96  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0   2940  91356 237608 2321576    0    0     0     7   80   72  0  0 100  0
 0  0   2940  92108 237616 2321576    0    0     0     6   75   68  0  0 100  0
 0  0   2940  92108 237628 2321576    0    0     0     2   56   64  0  0 100  0
 0  0   2940  92108 237636 2321576    0    0     0     1   53   57  0  0 100  0
 0  0   2940  90712 237668 2321588    0    0     0    36  152  139  1  1 98  0
 0  0   2940  90588 237668 2321588    0    0     0     6   69   63  0  0 100  0
 0  0   2940  90432 237700 2321632    0    0     0    43  132  111  1  0 98  0
 0  0   2940  89160 237724 2321640    0    0     0    20  119  106  0  1 99  0
 0  0   2940  88920 237744 2321644    0    0     0    28   74   68  0  0 100  0
 0  0   2940  89044 237744 2321644    0    0     0     5   85   80  0  0 100  0
 0  0   2940  89044 237752 2321640    0    0     0     2   60   68  0  0 100  0
 0  0   2940  88592 237760 2321644    0    0     0     4   79   71  0  1 99  0
 0  0   2940  88548 237768 2321644    0    0     0     5   77   80  0  0 100  0
 0  0   2940  89564 237776 2321644    0    0     0     1   79   72  0  0 100  0
 0  0   2940  90820 237784 2321644    0    0     0     4   65   65  0  0 100  0
 0  0   2940  89360 237792 2321724    0    0     3     7  182  124  3  2 96  0
 0  0   2940  88384 237864 2321756    0    0     0    99  272  265  2  1 97  0
 0  0   2940  88252 237888 2321768    0    0     0    14  106   90  0  0 100  0
 0  0   2940  88252 237896 2321768    0    0     0    14   61   64  0  0 100  0
 3  0   2940  87724 237904 2321768    0    0     0     1   70   68  0  1 99  0
 0  0   2940  87384 237916 2321772    0    0     0     9  109   86  0  1 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940  87508 237924 2321772    0    0     0     5   64   65  0  0 100  0
 0  0   2940  88904 237928 2321772    0    0     0     3   71   74  0  0 100  0
 0  0   2940  90600 237936 2321772    0    0     0     3   90   86  0  1 99  0
 0  0   2940  91548 237944 2321772    0    0     0     5   79   85  0  0 100  0
 0  0   2940  91548 237948 2321776    0    0     0     1   68   66  0  0 100  0
 0  0   2940  91548 237956 2321776    0    0     0     5   59   72  0  0 100  0
 3  0   2940  89500 237968 2321780    0    0     0    12  133  125  0  1 99  0
 0  0   2940  89160 237976 2321784    0    0     0    13   79   76  0  0 100  0
 0  0   2940  89160 237984 2321784    0    0     0     3   68   70  0  0 100  0
 0  0   2940  89160 237992 2321784    0    0     0     2   48   62  0  0 100  0
 0  0   2940  88780 237996 2321792    0    0     0     3   78   94  0  0 100  0
 0  0   2940  87664 238008 2321792    0    0     0     8   86   86  0  1 99  0
 0  0   2940  89648 238016 2321792    0    0     0     2   77   75  0  0 100  0
 0  0   2940  88904 238028 2321792    0    0     0    14  122  131  0  0 100  0
 0  0   2940  87788 238044 2321796    0    0     0     9  101  118  0  1 99  0
 0  0   2940  87788 238056 2321796    0    0     0    12   68   68  0  0 100  0
 0  0   2940  87664 238064 2321796    0    0     0     2   73   75  0  0 100  0
 0  0   2940  87664 238072 2321796    0    0     0     1   63   70  0  0 100  0
 0  0   2940  87212 238080 2321796    0    0     0     2   91   83  0  2 98  0
 0  0   2940  87416 238096 2321800    0    0     0    12  105  111  0  0 100  0
 0  0   2940  87920 238104 2321800    0    0     0     5   76   72  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940  88780 238116 2321812    0    0     0    13   78   82  0  0 100  0
 0  0   2940  87856 238120 2321812    0    0     0     3   78   76  0  1 99  0
 0  0   2940  87912 238124 2321812    0    0     0    11   74   82  0  0 100  0
 0  0   2940  88036 238124 2321812    0    0     0     2   66   62  0  0 100  0
 0  0   2940  88036 238132 2321812    0    0     0     1   52   59  0  0 100  0
 0  0   2940  86996 238156 2321836    0    0     0    34  196  178  0  1 98  0
 0  0   2940  86648 238200 2321868    0    0     2   131  163  143  1  1 98  0
