yogafire 2017-04-15 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   3020 103680 274016 2312300    0    0     0     0    0    1  0  0 99  0
 0  0   3020 103896 274024 2312344    0    0     0    22  109   78  0  0 100  0
 0  0   3020 103904 274040 2312344    0    0     0     5  112   80  0  0 100  0
 0  0   3020 103656 274056 2312344    0    0     0    13  100   74  0  0 100  0
 2  0   3020 103400 274068 2312348    0    0     0     5  123   85  0  1 99  0
 0  0   3020 104028 274092 2312344    0    0     0    12  115   79  0  0 100  0
 0  0   3020 105176 274100 2312360    0    0     0     8  130   91  0  0 100  0
 0  0   3020 105176 274116 2312364    0    0     0    11  118   83  0  0 100  0
 0  0   3020 101320 274136 2312388    0    0     0    60  292  176  3  1 96  0
 0  0   3020 101188 274156 2312400    0    0     0    26  107   78  0  0 100  0
 0  0   3020 101064 274168 2312408    0    0     0    10  129   88  0  0 100  0
 0  0   3020 101188 274176 2312408    0    0     0    15  114   77  0  0 100  0
 0  0   3020 100860 274192 2312416    0    0     0     5  133   92  0  1 99  0
 0  0   3020 100816 274208 2312416    0    0     0    15  111   80  0  0 100  0
 0  0   3020 100808 274228 2312452    0    0     0    13  174  105  1  0 99  0
 0  0   3020 100972 274260 2312456    0    0     0    34  152  101  0  0 99  0
 0  0   3020 104112 274268 2312464    0    0     0    13  143   95  0  1 99  0
 0  0   3020 104004 274280 2312464    0    0     0     8   83   69  0  0 100  0
 0  0   3020 104004 274284 2312472    0    0     0     8  126   87  0  0 100  0
 0  0   3020 104004 274300 2312472    0    0     0     9  113   81  0  0 100  0
 0  0   3020 104004 274316 2312472    0    0     0     7  124   93  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 105144 274324 2312480    0    0     0    13  124   89  0  0 100  0
 0  0   3020 105896 274344 2312492    0    0     0    10  141   96  0  0 100  0
 0  0   3020 105772 274348 2312492    0    0     0     3  105   81  0  0 100  0
 0  0   3020 106880 274364 2312492    0    0     0    13  128   91  0  1 99  0
 0  0   3020 104988 274380 2312532    0    0     0    16  175  120  1  0 99  0
 0  0   3020 104708 274416 2312532    0    0     0    41  128   97  0  0 100  0
 0  0   3020 104584 274428 2312536    0    0     0     7  117   86  0  0 100  0
 0  0   3020  97792 274456 2312560    0    0     0    52  373  300  1  2 98  0
 0  0   3020  97528 274536 2312692    0    0     0   102  234  185  0  0 99  0
 0  0   3020  97528 274544 2312696    0    0     0    12  113   79  0  0 100  0
 0  0   3020  97404 274548 2312700    0    0     0    17  132   91  0  0 100  0
 2  0   3020  97148 274564 2312700    0    0     0     3  112   82  0  1 99  0
 0  0   3020  97932 274584 2312700    0    0     0    15  115   83  0  0 100  0
 0  0   3020  97932 274596 2312704    0    0     0     9  121   87  0  0 100  0
 0  0   3020  99700 274624 2312748    0    0     0    30  207  141  1  0 99  0
 0  0   3020 100712 274632 2312756    0    0     0    14  156  109  0  2 98  0
 0  0   3020 100832 274648 2312764    0    0     0    15  119   84  0  0 100  0
 0  0   3020 100064 274672 2312776    0    0     0    34  177  123  1  0 99  0
 0  0   3020 100064 274688 2312780    0    0     0     6  114   86  0  0 100  0
 0  0   3020  99320 274704 2312792    0    0     0     7  139  102  0  1 98  0
 0  0   3020  99320 274720 2312792    0    0     0    14   94   76  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 101468 274740 2312792    0    0     0     9  135   89  0  0 100  0
 0  0   3020 101468 274744 2312796    0    0     0    10  102   77  0  0 100  0
 0  0   3020 101536 274756 2312804    0    0     0     7  131   93  0  1 99  0
 0  0   3020 103228 274780 2312800    0    0     0    16  137   90  0  0 100  0
 0  0   3020 103616 274792 2312808    0    0     0     5  115   83  0  0 100  0
 0  0   3020 103740 274800 2312816    0    0     0    11  122   81  0  0 100  0
 0  0   3020 102468 274804 2312820    0    0     0    11  168  117  0  1 99  0
 0  0   3020 102460 274836 2312836    0    0     0    25  126   93  0  0 100  0
 0  0   3020 101196 274868 2312864    0    0     0    38  187  123  1  0 99  0
 0  0   3020 101196 274888 2312864    0    0     0    14  152  101  0  0 100  0
 0  0   3020 100700 274904 2312864    0    0     0    13  121   89  0  1 99  0
 0  0   3020 100328 274908 2312868    0    0     0     6  100   74  0  0 100  0
 0  0   3020 100204 274932 2312880    0    0     0     8  134   87  0  0 100  0
 0  0   3020 100080 274948 2312880    0    0     0     9  107   74  0  0 100  0
 2  0   3020 101608 274960 2312884    0    0     0    10  129   89  0  1 99  0
 0  0   3020 102996 274976 2312884    0    0     0    13  114   83  0  0 100  0
 0  0   3020 102996 274992 2312900    0    0     0     7  129   85  0  0 100  0
 0  0   3020 102996 275004 2312900    0    0     0     6  100   77  0  0 100  0
 0  0   3020 102776 275012 2312904    0    0     0     7  108   87  0  2 98  0
 0  0   3020 103120 275020 2312904    0    0     0     7  101   79  0  0 100  0
 0  0   3020 103120 275036 2312920    0    0     0     6  140   96  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 103120 275048 2312920    0    0     0     9  131   88  0  0 100  0
 2  0   3020 102136 275068 2312944    0    0     0    30  198  125  1  1 98  0
 0  0   3020 101888 275080 2312944    0    0     0    18  111   83  0  0 99  0
 0  0   3020 101888 275084 2312948    0    0     0    10  108   82  0  0 100  0
 0  0   3020 102012 275100 2312944    0    0     0    12  100   76  0  0 100  0
 0  0   3020  95576 275200 2313008    0    0     0   104  413  340  0  2 98  0
 0  0   3020  95320 275216 2313160    0    0     0    47  210  128  2  0 97  0
