yogafire 2017-04-14 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   3020 1662712 385884 473084    0    0     1     0    1    1  0  0 99  0
 0  0   3020 1662580 385904 473112    0    0     0    12  125   87  0  0 100  0
 0  0   3020 1662580 385924 473116    0    0     0    13  118   89  0  0 100  0
 0  0   3020 1663084 385936 473124    0    0     0    10  107   79  0  0 100  0
 0  0   3020 1663184 385936 473124    0    0     0     7  106   84  0  1 99  0
 0  0   3020 1663588 385940 473128    0    0     0    12  109   82  0  0 100  0
 0  0   3020 1663588 385944 473128    0    0     0     4  104   88  0  0 100  0
 0  0   3020 1663588 385952 473140    0    0     0    11  105   83  0  0 100  0
 0  0   3020 1662448 385952 473140    0    0     0    15  144  102  0  1 99  0
 0  0   3020 1662324 385960 473144    0    0     0    17  104   76  0  0 100  0
 0  0   3020 1662200 385968 473156    0    0     0     9  120   86  0  0 100  0
 0  0   3020 1662200 385976 473160    0    0     0     5  116   84  0  0 100  0
 3  0   3020 1662060 385980 473160    0    0     0     8  102   89  0  0 100  0
 0  0   3020 1661952 385980 473164    0    0     0     7  106   73  0  1 99  0
 1  0   3020 1662068 386004 473196    0    0     0    21  149   97  0  0 99  0
 0  0   3020 1661976 386012 473208    0    0     0    30  133   93  1  0 99  0
 0  0   3020 1661976 386016 473212    0    0     0    13   91   72  0  0 100  0
 0  0   3020 1661604 386016 473224    0    0     0    15  131   87  0  1 99  0
 0  0   3020 1661604 386020 473224    0    0     0     5   98   74  0  0 100  0
 0  0   3020 1661604 386028 473224    0    0     0    13   81   64  0  0 100  0
 0  0   3020 1661060 386028 473228    0    0     0     6  114   84  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 1662372 386028 473232    0    0     0    13  115   75  0  0 100  0
 0  0   3020 1662984 386028 473240    0    0     0    11  128   84  0  0 100  0
 0  0   3020 1662860 386036 473244    0    0     0     9  121   89  0  0 100  0
 0  0   3020 1662240 386036 473256    0    0     0     7  159  113  0  1 99  0
 0  0   3020 1660968 386056 473300    0    0     0    35  237  166  1  1 98  0
 0  0   3020 1660844 386060 473312    0    0     0    11  184  131  0  0 100  0
 0  0   3020 1660216 386068 473344    0    0     0    14  229  151  0  0 99  0
 0  0   3020 1654012 386084 473392    0    0     0    51  351  255  1  2 98  0
 0  0   3020 1654044 386104 473440    0    0     0    51  225  155  0  0 99  0
 0  0   3020 1654044 386104 473456    0    0     0     9  191  138  0  0 100  0
 0  0   3020 1653920 386108 473480    0    0     0    18  207  138  0  0 100  0
 0  0   3020 1654564 386116 473496    0    0     0     8  203  140  0  1 99  0
 0  0   3020 1654440 386120 473520    0    0     0     8  187  136  0  0 100  0
 0  0   3020 1654044 386132 473564    0    0     0    18  241  181  1  0 99  0
 0  0   3020 1654532 386148 473596    0    0     0    26  235  185  0  0 99  0
 3  0   3020 1656936 386152 473616    0    0     0    16  214  168  0  1 99  0
 0  0   3020 1655812 386156 473652    0    0     0    12  238  196  0  1 98  0
 0  0   3020 1655812 386164 473664    0    0     0     5  205  162  0  0 100  0
 0  0   3020 1656432 386180 473688    0    0     0    16  225  180  0  0 99  0
 0  0   3020 1656432 386188 473700    0    0     0     9  200  160  0  0 100  0
 0  0   3020 1656820 386196 473728    0    0     0    18  234  162  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 1658332 386196 473752    0    0     0     9  213  154  0  0 100  0
 0  0   3020 1658208 386196 473764    0    0     0    10  192  135  0  0 99  0
 0  0   3020 1658828 386196 473788    0    0     0     9  201  152  0  0 100  0
 1  0   3020 1658456 386204 473816    0    0     0    13  216  171  0  1 99  0
 0  0   3020 1659208 386212 473836    0    0     0    11  232  185  0  0 100  0
 0  0   3020 1658960 386224 473860    0    0     0     9  202  145  0  0 100  0
 0  0   3020 1659216 386244 473888    0    0     0    17  233  178  0  1 99  0
 0  0   3020 1659960 386248 473900    0    0     0    13  203  146  0  0 99  0
 0  0   3020 1659960 386252 473928    0    0     0    13  207  150  0  0 100  0
 0  0   3020 1659836 386256 473944    0    0     0    12  211  161  0  0 99  0
 0  0   3020 1659424 386260 473964    0    0     0     9  211  165  0  1 99  0
 0  0   3020 1659340 386268 473992    0    0     0    19  214  166  0  0 100  0
 0  0   3020 1660332 386280 474012    0    0     0    11  222  152  0  0 99  0
 0  0   3020 1660208 386288 474032    0    0     0    12  197  151  0  0 100  0
 0  0   3020 1659836 386296 474044    0    0     0    10  207  163  0  1 99  0
 0  0   3020 1659464 386308 474068    0    0     0     9  199  136  0  0 100  0
 0  0   3020 1660208 386316 474096    0    0     0    13  259  188  0  0 99  0
 0  0   3020 1659340 386320 474120    0    0     0    14  250  182  0  0 99  0
 3  0   3020 1658720 386324 474168    0    0     0    22  256  192  1  2 97  0
 0  0   3020 1658472 386344 474204    0    0     0    15  225  160  0  1 99  0
 0  0   3020 1658596 386352 474220    0    0     0    21  198  158  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 1659836 386352 474240    0    0     0    12  230  176  0  0 99  0
 0  0   3020 1659092 386360 474264    0    0     0    10  205  162  0  1 99  0
 0  0   3020 1658844 386360 474276    0    0     0    13  184  134  0  0 100  0
 0  0   3020 1658844 386364 474304    0    0     0     7  192  132  0  0 100  0
 0  0   3020 1658968 386372 474320    0    0     0    14  216  161  0  0 100  0
 3  0   3020 1655812 386404 474376    0    0     0    44  307  240  0  1 99  0
 0  0   3020 1654300 386408 474432    0    0     0    32  263  176  1  1 98  0
 0  0   3020 1654092 386416 474464    0    0     0    30  232  188  0  0 99  0
 0  0   3020 1654092 386424 474488    0    0     0    10  205  142  0  0 100  0
 0  0   3020 1653516 386432 474504    0    0     0    21  217  159  0  1 99  0
 0  0   3020 1654712 386452 474524    0    0     0    13  220  167  0  0 99  0
 0  0   3020 1653332 386492 474576    0    0     0    41  292  198  1  1 98  0
 0  0   3020 1653464 386500 474592    0    0     0    13  211  168  0  0 100  0
 0  0   3020 1652968 386504 474616    0    0     0    19  215  276  0  1 99  0
 0  0   3020 1653224 386516 474640    0    0     0    13  211  170  0  0 100  0
 0  0   3020 1654340 386516 474664    0    0     0    10  202  151  0  0 100  0
 0  0   3020 1654216 386528 474684    0    0     0    13  193  134  0  0 100  0
yogafire 2017-04-14 00:20:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0   3020 1653628 386540 474704    0    0     1     0    1    1  0  0 99  0
 0  0   3020 1657636 386548 474716    0    0     0    18  240  148  0  0 99  0
 0  0   3020 1656612 386556 474760    0    0     0    29  291  212  1  1 99  0
 0  0   3020 1656860 386560 474780    0    0     0    14  210  162  0  0 99  0
 2  0   3020 1656208 386564 474804    0    0     0     9  212  158  0  1 99  0
 0  0   3020 1655992 386576 474820    0    0     0    14  190  136  0  0 100  0
 0  0   3020 1655992 386576 474844    0    0     0    17  209  150  0  0 100  0
 0  0   3020 1655992 386580 474868    0    0     0     9  209  152  0  0 100  0
 2  0   3020 1653712 386584 474892    0    0     0    41  276  199  0  1 98  0
 0  0   3020 1653844 386596 474932    0    0     0    28  209  152  0  0 99  0
 0  0   3020 1653720 386600 474944    0    0     0    21  213  168  0  0 100  0
 0  0   3020 1653720 386604 474976    0    0     0     9  220  170  0  0 99  0
 0  0   3020 1653044 386604 475000    0    0     0    13  206  155  0  1 99  0
 0  0   3020 1653844 386608 475016    0    0     0    13  206  141  0  0 100  0
 0  0   3020 1652580 386636 475048    0    0     0    32  265  185  1  1 99  0
 0  0   3020 1652720 386648 475072    0    0     0    17  192  138  0  0 100  0
 0  0   3020 1654728 386652 475100    0    0     0     6  216  156  0  1 99  0
 0  0   3020 1655868 386660 475112    0    0     0    18  192  147  0  0 100  0
 0  0   3020 1655992 386668 475136    0    0     0     9  191  137  0  0 100  0
 0  0   3020 1655620 386680 475148    0    0     0     7  176  134  0  0 100  0
 0  0   3020 1654604 386684 475172    0    0     0    10  221  178  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 1655892 386692 475208    0    0     0    13  217  154  0  0 100  0
 0  0   3020 1657884 386700 475220    0    0     0    15  211  142  0  0 100  0
 0  0   3020 1657884 386708 475240    0    0     0     9  208  144  0  0 100  0
 0  0   3020 1657000 386712 475256    0    0     0     8  213  174  0  1 99  0
 0  0   3020 1657140 386716 475268    0    0     0    12  167  138  0  0 100  0
 0  0   3020 1657140 386728 475292    0    0     0     9  191  143  0  0 100  0
 0  0   3020 1659008 386732 475316    0    0     0    13  222  203  0  0 99  0
 0  0   3020 1650960 386748 475364    0    0     0    58  452  383  1  2 98  0
 0  0   3020 1650572 386788 475500    0    0     0   109  279  217  0  0 99  0
 0  0   3020 1650696 386796 475512    0    0     0    12  202  158  0  0 100  0
 0  0   3020 1650572 386808 475536    0    0     0    18  206  177  0  0 100  0
 0  0   3020 1648572 386816 475544    0    0     0    10  241  178  0  1 99  0
 0  0   3020 1647416 386840 475616    0    0     0    35  233  164  1  0 98  0
 0  0   3020 1647308 386840 475624    0    0     0    19  202  140  0  0 100  0
 0  0   3020 1647820 386844 475636    0    0     0     6  195  140  0  0 100  0
 0  0   3020 1654116 386856 475660    0    0     0    13  229  183  0  1 99  0
 0  0   3020 1655232 386864 475688    0    0     0    13  204  151  0  0 100  0
 0  0   3020 1655232 386876 475700    0    0     0    14  192  157  0  0 100  0
 0  0   3020 1655232 386884 475736    0    0     0    27  236  172  1  0 99  0
 0  0   3020 1653968 386884 475756    0    0     0    13  233  165  0  2 98  0
 0  0   3020 1653992 386892 475776    0    0     0    20  185  134  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 1655116 386896 475796    0    0     0    11  209  145  0  0 99  0
 0  0   3020 1655116 386896 475816    0    0     0    13  206  140  0  0 100  0
 0  0   3020 1654348 386900 475840    0    0     0     7  219  163  0  1 99  0
 0  0   3020 1654372 386904 475868    0    0     0    18  202  152  0  0 100  0
 0  0   3020 1656380 386924 475884    0    0     0     8  215  180  0  0 100  0
 1  0   3020 1656884 386932 475908    0    0     0    12  203  146  0  0 100  0
 0  0   3020 1657248 386936 475932    0    0     0    16  212  152  0  1 99  0
 0  0   3020 1657264 386948 475944    0    0     0    12  197  141  0  0 100  0
 0  0   3020 1657248 386960 475968    0    0     0    13  193  137  0  0 100  0
 0  0   3020 1656736 386984 476000    0    0     0    29  252  181  1  1 99  0
 0  0   3020 1655744 386988 476016    0    0     0     6  203  156  0  1 99  0
 0  0   3020 1655620 386996 476040    0    0     0    24  210  152  0  0 100  0
 0  0   3020 1655620 387008 476052    0    0     0    10  209  157  0  0 100  0
 0  0   3020 1655744 387008 476076    0    0     0    11  204  157  0  0 100  0
 0  0   3020 1654736 387024 476148    0    0     0    58  323  223  2  1 97  0
 0  0   3020 1654364 387024 476176    0    0     0    12  185  146  0  0 100  0
 0  0   3020 1654364 387024 476192    0    0     0    24  236  217  0  0 99  0
 0  0   3020 1654488 387028 476212    0    0     0     7  174  128  0  0 100  0
 8  1   3020 1651160 387040 476220    0    0     1    13  210  190  0  3 97  0
 0  0   3020 1655084 387092 475268    0    0    31   103  371  361  1  4 94  0
 0  0   3020 1655084 387108 475288    0    0     0    25  200  152  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 1654812 387116 475340    0    0     0    35  262  197  1  0 99  0
 0  0   3020 1654440 387136 475356    0    0     0    14  219  175  0  1 99  0
 0  0   3020 1653640 387152 475460    0    0     0    61  308  238  2  1 97  0
 0  0   3020 1653632 387156 475500    0    0     0    19  237  206  0  0 99  0
 0  0   3020 1653400 387164 475528    0    0     0    26  226  178  0  0 100  0
 0  0   3020 1644816 387192 475596    0    0     0    90  514  476  1  2 97  0
 0  0   3020 1644708 387228 475752    0    0     0   112  317  271  0  0 99  0
 0  0   3020 1644840 387232 475768    0    0     0    16  202  154  0  0 100  0
 0  0   3020 1644716 387236 475792    0    0     0     8  188  154  0  0 100  0
 0  0   3020 1646120 387244 475800    0    0     0    14  210  162  0  1 99  0
 0  0   3020 1645996 387252 475836    0    0     0     9  196  157  0  0 100  0
 0  0   3020 1642064 387256 475856    0    0     0    25  319  240  0  1 98  0
 0  0   3020 1639676 387272 476096    0    0    13    50  378  272  0  1 99  0
 0  0   3020 1645296 387296 476124    0    0     0    50  312  237  0  2 98  0
 0  0   3020 1646360 387304 476116    0    0     0    26  234  166  0  0 99  0
 0  0   3020 1655828 387312 476144    0    0     0    10  211  144  0  0 99  0
 0  0   3020 1649988 387316 476164    0    0     0    24  343  230  1  4 96  0
yogafire 2017-04-14 00:40:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   3020 1648508 387324 476208    0    0     1     0    1    1  0  0 99  0
 0  0   3020 1649152 387340 476236    0    0     0    41  229  169  1  0 99  0
 0  0   3020 1649152 387348 476248    0    0     0     9  197  144  0  0 100  0
 0  0   3020 1650036 387348 476276    0    0     0    16  213  161  0  0 100  0
 0  0   3020 1649028 387360 476300    0    0     0    12  227  183  0  1 99  0
 0  0   3020 1649904 387360 476312    0    0     0     9  219  170  0  0 100  0
 1  0   3020 1649904 387364 476340    0    0     0    12  209  164  0  0 100  0
 0  0   3020 1649920 387368 476352    0    0     0    10  207  140  0  0 99  0
 0  0   3020 1646888 387368 476392    0    0     0    51  297  222  0  1 98  0
 0  0   3020 1646624 387372 476428    0    0     0    23  225  183  0  0 99  0
 0  0   3020 1647492 387388 476452    0    0     0    24  215  165  0  0 100  0
 0  0   3020 1647368 387396 476464    0    0     0     6  196  141  0  0 100  0
 2  0   3020 1645500 387396 476488    0    0     0     7  220  171  0  1 99  0
 0  0   3020 1644740 387396 476504    0    0     0    17  223  155  0  1 99  0
 0  0   3020 1644112 387404 476528    0    0     0    14  249  190  0  0 99  0
 0  0   3020 1644252 387412 476556    0    0     0    14  226  171  0  0 99  0
 0  0   3020 1646532 387432 476580    0    0     0    10  188  147  0  0 100  0
 0  0   3020 1646656 387436 476592    0    0     0    16  199  151  0  1 99  0
 0  0   3020 1646656 387444 476616    0    0     0     9  187  143  0  0 100  0
 0  0   3020 1646904 387444 476644    0    0     0     9  188  139  0  0 100  0
 0  0   3020 1647284 387448 476656    0    0     0    10  199  152  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   3020 1647168 387460 476680    0    0     0    12  234  171  0  2 98  0
 0  0   3020 1647168 387468 476692    0    0     0    10  201  157  0  0 100  0
 0  0   3020 1645120 387496 476768    0    0     0    41  297  216  2  1 97  0
 0  0   3020 1644368 387512 476776    0    0     0    32  229  179  0  0 99  0
 0  0   3020 1643252 387516 476800    0    0     0    25  209  150  0  1 99  0
 0  0   3020 1643252 387520 476828    0    0     0    12  218  160  0  0 100  0
 0  0   3020 1643500 387536 476840    0    0     0    17  197  151  0  0 100  0
 0  0   3020 1639708 387548 476896    0    0     0    55  381  310  1  1 99  0
 0  0   3020 1638716 387568 476988    0    0     0    50  246  190  0  1 99  0
 0  0   3020 1640120 387572 477012    0    0     0    34  209  141  0  0 100  0
 0  0   3020 1640120 387588 477028    0    0     0     8  181  132  0  0 100  0
 0  0   3020 1639560 387592 477056    0    0     0    12  190  143  0  1 99  0
 0  0   3020 1639748 387596 477072    0    0     0    12  204  147  0  0 100  0
 0  0   3020 1640864 387600 477100    0    0     0    12  236  166  0  0 99  0
 1  0   3020 1646408 387604 477120    0    0     0    11  221  167  0  0 100  0
 0  0   3020 1645896 387612 477152    0    0     0     9  213  158  0  1 99  0
