yogafire 2017-03-31 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2928 1447060 367268 734708    0    0     0     1    0    1  0  0 99  0
 0  0   2928 1447444 367272 734728    0    0     0     7   84   70  0  0 100  0
 0  0   2928 1447444 367280 734728    0    0     0     2   57   59  0  0 100  0
 0  0   2928 1447444 367288 734728    0    0     0    10   78   72  0  0 100  0
 0  0   2928 1447132 367292 734728    0    0     0     1  104   74  0  1 99  0
 0  0   2928 1448304 367300 734728    0    0     0     8   92   82  0  0 100  0
 0  0   2928 1448304 367308 734728    0    0     0     5   67   64  0  0 100  0
 0  0   2928 1448304 367312 734728    0    0     0     2   94   89  0  0 100  0
 0  0   2928 1447512 367316 734728    0    0     0     3  120  102  0  1 99  0
 0  0   2928 1447560 367320 734728    0    0     0     9   75   73  0  0 100  0
 0  0   2928 1447560 367324 734732    0    0     0     6   94   97  0  0 100  0
 0  0   2928 1447560 367324 734732    0    0     0     1   79   72  0  0 100  0
 2  0   2928 1447908 367328 734732    0    0     0     5   88   69  0  0 99  0
 0  0   2928 1447816 367328 734736    0    0     0     5   68   65  0  0 100  0
 0  0   2928 1447816 367332 734736    0    0     0     1   56   59  0  0 100  0
 0  0   2928 1446080 367348 734792    0    0     0    60  214  151  2  1 98  0
 0  0   2928 1445436 367348 734792    0    0     0     5  105   88  0  1 99  0
 0  0   2928 1445460 367356 734792    0    0     0    21   62   69  0  0 100  0
 0  0   2928 1445460 367360 734792    0    0     0     2   75   96  0  0 100  0
 0  0   2928 1445460 367360 734792    0    0     0     1   71   68  0  0 100  0
 0  0   2928 1445164 367360 734792    0    0     0     5  110   94  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2928 1445584 367364 734792    0    0     0     6   80   83  0  0 100  0
 0  0   2928 1446352 367368 734792    0    0     0     5   63   67  0  0 100  0
 0  0   2928 1446352 367372 734792    0    0     0     4   98  100  0  0 100  0
 0  0   2928 1446180 367380 734792    0    0     0     2  100   91  0  1 99  0
