yogafire 2017-04-25 00:00:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 411216 430036 1700004    0    0     4     8   14   10  0  0 99  0
 0  0      0 411856 430036 1700016    0    0     0    13   75   78  0  0 100  0
 0  0      0 409568 430044 1700032    0    0     0    41  191  147  1  1 98  0
 0  0      0 409568 430048 1700036    0    0     0    13   58   75  0  0 100  0
 0  0      0 407420 430060 1700012    0    0     0     7  155  142  0  1 99  0
 0  0      0 405908 430084 1700112    0    0     0    62  186  161  0  0 99  0
 0  0      0 405908 430084 1700112    0    0     0    29   66   86  0  0 100  0
 0  0      0 405908 430088 1700112    0    0     0     2   62   73  0  0 100  0
 0  0      0 404908 430088 1700112    0    0     0     5   82   92  0  1 99  0
 0  0      0 406188 430088 1700112    0    0     0     5   69   77  0  0 100  0
 0  0      0 405792 430092 1700120    0    0     0    10  106  102  0  0 99  0
 0  0      0 405924 430108 1700160    0    0     0    57  158  128  1  0 99  0
 2  0      0 408692 430124 1700172    0    0     0    40  165  123  1  1 99  0
 0  0      0 406808 430136 1700244    0    0     0    80  184  150  2  1 98  0
 1  0      0 408188 430144 1700236    0    0     0    19   94   99  0  0 100  0
 0  0      0 408188 430164 1700288    0    0     0    51  142  133  1  0 99  0
 0  0      0 408320 430164 1700288    0    0     0     7  104  104  0  1 99  0
 0  0      0 408188 430164 1700288    0    0     0     7   52   60  0  0 100  0
 0  0      0 408188 430164 1700288    0    0     0     9   53   60  0  0 100  0
 0  0      0 408188 430168 1700288    0    0     0     5  106  118  0  0 100  0
 1  0      0 408552 430172 1700292    0    0     0     5  107   93  0  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 409080 430172 1700292    0    0     0     7   68   82  0  0 100  0
 0  0      0 411608 430172 1700292    0    0     0     3   67   70  0  0 100  0
 0  0      0 411608 430172 1700292    0    0     0     6   49   70  0  0 100  0
 0  0      0 408056 430176 1700184    0    0     0     1  174  181  0  1 99  0
 0  0      0 397128 430192 1700444    0    0     0   163  560  499  2  2 96  0
 0  0      0 396244 430244 1700580    0    0     0   125  172  151  0  0 99  0
 0  0      0 396244 430244 1700580    0    0     0    38   56   71  0  0 100  0
 1  0      0 395616 430248 1700580    0    0     0     3   84   92  0  1 99  0
 0  0      0 395244 430252 1700592    0    0     0    21  133  118  1  0 99  0
 0  0      0 395376 430252 1700592    0    0     0    16   66   80  0  0 100  0
 0  0      0 396136 430256 1700592    0    0     0     7   77   82  0  0 100  0
 0  0      0 400416 430256 1700592    0    0     0     2  108   93  0  1 99  0
 0  0      0 400424 430264 1700592    0    0     0    11   54   71  0  0 100  0
 0  1      0 401424 430272 1700596    0    0     0    19  104  111  0  0 99  0
 0  0      0 402556 430280 1700632    0    0     0    37  118  109  1  0 99  0
 0  0      0 412536 430280 1700632    0    0     0    11  128  113  0  1 98  0
 0  0      0 413676 430280 1700632    0    0     0    18   63   65  0  0 100  0
 0  0      0 409256 430316 1700748    0    0     0   135  360  293  4  2 95  0
 0  0      0 409512 430320 1700760    0    0     0    24  125   95  0  0 99  0
 0  0      0 408276 430328 1700792    0    0     1    64  131  109  0  1 98  0
 0  0      0 408900 430336 1700792    0    0     0    31   90   83  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
