yogafire 2017-04-01 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2928 127248 363604 2050764    0    0     0     1    1    0  0  0 99  0
 0  0   2928 128368 363604 2050784    0    0     0    12  115   73  0  0 100  0
 0  0   2928 128368 363608 2050784    0    0     0     1  102   74  0  0 100  0
 0  0   2928 141752 363636 2050784    0    0     1   107  192  113  1  1 99  0
 0  0   2928 142000 363640 2050784    0    0     0     1  136   83  0  1 99  0
 0  0   2928 142876 363644 2050784    0    0     0    17  108   75  0  0 100  0
 0  0   2928 142876 363648 2050784    0    0     0     1   99   70  0  0 100  0
 0  0   2928 142876 363648 2050784    0    0     0     3  115   77  0  0 100  0
 0  0   2928 142688 363648 2050784    0    0     0     3  140   90  0  1 99  0
 0  0   2928 146364 363648 2050784    0    0     0     5  111   72  0  0 100  0
 0  0   2928 146636 363648 2050784    0    0     0     5  101   67  0  0 100  0
 0  0   2928 146636 363648 2050784    0    0     0     1  106   70  0  0 100  0
 3  0   2928 146472 363664 2050792    0    0     0     5  141   90  0  0 99  0
 0  0   2928 146256 363668 2050792    0    0     0     5  113   74  0  0 100  0
 0  0   2928 146256 363668 2050792    0    0     0     5   98   68  0  0 100  0
 0  0   2928 146256 363672 2050792    0    0     0     5   98   69  0  0 100  0
 0  0   2928 146636 363680 2050792    0    0     0     1  106   71  0  0 100  0
 0  0   2928 146512 363684 2050792    0    0     0     7  112   76  0  1 99  0
 0  0   2928 145488 363692 2050824    0    0     0    31  156  112  1  0 99  0
 0  0   2928 145496 363696 2050824    0    0     0     7  103   69  0  0 100  0
 0  0   2928 145248 363700 2050824    0    0     0    11  107   71  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2928 144752 363708 2050828    0    0     0     7  123   83  0  2 98  0
 0  0   2928 144752 363712 2050828    0    0     0     1   82   65  0  0 100  0
 0  0   2928 144752 363720 2050828    0    0     0     7   95   71  0  0 100  0
 0  0   2928 144752 363728 2050828    0    0     0     1   96   71  0  0 100  0
 0  0   2928 147396 363732 2050828    0    0     0     8  120   86  0  1 99  0
 0  0   2928 147256 363744 2050832    0    0     0     5  104   85  0  0 100  0
 0  0   2928 147132 363752 2050832    0    0     0     1   95   71  0  0 100  0
 0  0   2928 144976 363764 2050844    0    0     0    33  176  110  0  0 99  0
 0  0   2928 143612 363772 2050844    0    0     0    10  111   80  0  1 99  0
 0  0   2928 142844 363780 2050872    0    0     0    17  131   94  1  0 99  0
 0  0   2928 142844 363796 2050880    0    0     0    28  121   87  0  0 100  0
 0  0   2928 143976 363796 2050880    0    0     0     1  139   87  0  1 99  0
