yogafire 2017-04-17 13:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 2717192  80996  87156    0    0    27    40   75   56  1  2 92  5
 0  0      0 2715036  81100  86960    0    0    14   130  310  198  4  1 95  0
 0  0      0 2714788  81124  86956    0    0     0    13  130   93  0  0 100  0
 0  0      0 2714788  81140  86972    0    0     0    24  121   91  0  0 100  0
 0  0      0 2714664  81192  87000    0    0     0    34  182  130  1  1 98  0
 0  0      0 2714540  81208  87004    0    0     0    20   98   86  0  0 100  0
 0  0      0 2715640  81248  87160    0    0     1   133  213  131  3  0 97  0
 0  0      0 2712748  81308  87528    0    0     3   151  238  156  2  0 97  0
 0  0      0 2712096  81416  87396    0    0     2   213  358  225  4  1 94  0
 0  0      0 2712104  81484  87456    0    0     3   144  190  136  1  0 99  0
 0  0      0 2712104  81508  87460    0    0     0    26  110   99  0  0 100  0
 0  0      0 2711856  81524  87468    0    0     0     6  108   94  0  0 100  0
 0  0      0 2711732  81572  87480    0    0     0    38  201  152  1  1 98  0
 0  1      0 2711608  81616  87536    0    0     1    31  269  152  3  0 93  3
 0  0      0 2711608  81648  87536    0    0     1    22  131   99  0  0 94  6
 0  0      0 2712112  81664  87540    0    0     0     6  144  104  0  0 100  0
 0  0      0 2712368  81688  87544    0    0     0    10  154  115  0  1 99  0
 0  0      0 2712368  81728  87592    0    0     2    93  187  140  1  0 99  0
 0  0      0 2712368  81752  87604    0    0     0    14  122   90  0  0 100  0
 0  0      0 2714120  81768  87608    0    0     0    17  107   81  0  0 100  0
 0  0      0 2714040  81784  87612    0    0     0     6  145  104  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 2714880  81808  87624    0    0     0    17  136   95  0  0 100  0
 0  0      0 2715228  81856  87616    0    0     0    57  164  126  0  0 99  0
 0  0      0 2715244  81880  87644    0    0     0    23  142   98  0  0 100  0
 0  0      0 2714888  81896  87648    0    0     0     6  123   90  0  1 99  0
 0  0      0 2714996  81920  87656    0    0     0    18  147  110  0  0 100  0
 0  0      0 2714616  81968  87684    0    0     0    39  180  139  1  0 99  0
 0  0      0 2714368  81984  87684    0    0     0     6  147  100  0  0 100  0
 0  0      0 2713996  82008  87692    0    0     0    21  123   93  0  1 99  0
 0  0      0 2713996  82024  87696    0    0     0     9  115   87  0  0 100  0
 0  0      0 2713872  82040  87700    0    0     0    14  121   88  0  0 100  0
 0  0      0 2713872  82056  87700    0    0     0     7   93   78  0  0 100  0
 0  0      0 2715212  82072  87708    0    0     0     5  173  122  0  1 99  0
 0  0      0 2715168  82248  88240    0    0     9   177  178  175  0  0 99  0
 0  0      0 2706092  83016  88416    0    0    53   108  269  197  2  1 96  1
 0  0      0 2704356  83156  88392    0    0    12    54  178  114  1  1 98  1
 1  0      0 2698140  83628  90648    0    0   170    50  304  185  2  3 95  1
 0  0      0 2695404  83644  93736    0    0   205    41  141  100  0  0 99  1
 0  0      0 2695404  83668  93744    0    0     0    11  137   97  0  0 100  0
 0  0      0 2695776  83712  93796    0    0     3    95  153  116  1  0 99  0
 0  0      0 2696844  83728  93800    0    0     0    15  145  111  0  1 98  0
 0  0      0 2697900  83768  93812    0    0     0    37  182  130  1  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 2697900  83784  93824    0    0     0    15  134   98  0  0 100  0
