yogafire 2017-03-29 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2924 1626060 372160 580616    0    0     0     1    1    1  0  0 99  0
 0  0   2924 1626028 372160 580636    0    0     0    13   90   69  0  0 100  0
 0  0   2924 1626028 372164 580636    0    0     0     1   85   62  0  0 100  0
 0  0   2924 1626284 372172 580636    0    0     0     5   97   70  0  0 100  0
 0  0   2924 1626112 372176 580636    0    0     0     4  124   84  0  1 99  0
 0  0   2924 1619228 372204 580752    0    0     1   253  356  252  3  3 93  0
 0  0   2924 1619368 372208 580728    0    0     0    10  130   82  0  0 100  0
 0  0   2924 1619492 372212 580728    0    0     0    23  103   74  0  0 100  0
 0  0   2924 1617584 372224 580736    0    0     0    31  204  139  0  1 99  0
 0  0   2924 1617220 372240 580752    0    0     0    45  107   87  0  0 100  0
 0  0   2924 1617220 372240 580752    0    0     0     1  102   83  0  0 100  0
 0  0   2924 1618336 372240 580752    0    0     0     4  114   85  0  0 100  0
 2  0   2924 1621012 372244 580752    0    0     0     1  131   82  0  1 99  0
 0  0   2924 1621012 372248 580752    0    0     0     5  100   74  0  0 100  0
 0  0   2924 1620376 372252 580760    0    0     0     8  118   96  0  0 100  0
 0  0   2924 1620740 372276 580800    0    0     0    30  168  117  1  0 99  0
 0  0   2924 1622400 372284 580800    0    0     0     9  107   72  0  0 100  0
 0  0   2924 1622276 372288 580800    0    0     0    20  102   82  0  1 99  0
 0  0   2924 1622276 372288 580800    0    0     0     1   84   64  0  0 100  0
 0  0   2924 1622276 372288 580800    0    0     0     1   94   70  0  0 100  0
 0  0   2924 1622276 372292 580800    0    0     0     3   99   71  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1622532 372292 580800    0    0     0     5  117   91  0  2 98  0
 0  0   2924 1625672 372296 580800    0    0     0     4   95   63  0  0 100  0
 0  0   2924 1625548 372300 580800    0    0     0     1   91   63  0  0 100  0
 0  0   2924 1625424 372300 580800    0    0     0     2  102   70  0  0 100  0
 0  0   2924 1624656 372308 580800    0    0     0     8  132   99  0  1 99  0
 0  0   2924 1624656 372312 580800    0    0     0     1   77   64  0  0 100  0
 0  0   2924 1624656 372312 580800    0    0     0     5   77   63  0  0 100  0
 5  0   2924 1623392 372320 580800    0    0     0    17  121   81  0  0 100  0
 1  0   2924 1619636 372352 580856    0    0     0    76  231  156  2  1 97  0
 0  0   2924 1619724 372352 580896    0    0     0     6   83   61  0  0 100  0
 0  0   2924 1619724 372352 580896    0    0     0    12   92   70  0  0 100  0
 0  0   2924 1619352 372356 580896    0    0     0     3  111   79  0  1 99  0
 0  0   2924 1619104 372356 580896    0    0     0     5   75   62  0  0 100  0
 0  0   2924 1619996 372356 580896    0    0     0     6   85   59  0  0 100  0
 0  0   2924 1620236 372368 580932    0    0     0    21  153  109  1  0 99  0
 0  0   2924 1621320 372376 580912    0    0     0    25  177  111  0  2 98  0
 0  0   2924 1620632 372380 580776    0    0     0    17  111   90  0  0 100  0
 0  0   2924 1619872 372384 580776    0    0     0    34  121   80  0  0 99  0
 0  0   2924 1619872 372392 580780    0    0     0     4   94   61  0  0 100  0
 3  0   2924 1619624 372392 580780    0    0     0     1  108   70  0  1 99  0
 0  0   2924 1619376 372392 580784    0    0     0    14  123   79  0  1 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1620012 372392 580784    0    0     0     1   92   68  0  0 100  0
 0  0   2924 1620012 372396 580784    0    0     0     3   88   70  0  0 100  0
 2  0   2924 1623640 372400 580784    0    0     0     3  115   72  0  1 99  0
 0  0   2924 1623772 372404 580784    0    0     0     7   86   67  0  0 100  0
 0  0   2924 1623896 372404 580788    0    0     0     1   90   68  0  0 100  0
 0  0   2924 1625020 372404 580788    0    0     0     5   94   74  0  0 100  0
 0  0   2924 1624624 372408 580788    0    0     0    11  118   82  0  0 100  0
 0  0   2924 1624004 372412 580792    0    0     0    12   97   72  0  1 99  0
 0  0   2924 1622228 372420 580828    0    0     0    33  177  125  1  0 98  0
 0  0   2924 1622228 372420 580828    0    0     0     2  104   86  0  0 100  0
 0  0   2924 1622228 372428 580824    0    0     0    17   92   64  0  0 100  0
 0  0   2924 1621112 372428 580828    0    0     0     5   94   71  0  1 99  0
 0  0   2924 1621624 372432 580824    0    0     0     8   87   61  0  0 100  0
 0  0   2924 1621624 372440 580828    0    0     0     1   90   77  0  0 100  0
 0  0   2924 1621420 372444 580828    0    0     0     1  117   86  0  1 99  0
 0  0   2924 1623896 372444 580828    0    0     0     8   91   67  0  0 100  0
 0  0   2924 1625020 372444 580828    0    0     0     2   84   64  0  0 100  0
 0  0   2924 1625020 372444 580828    0    0     0     1   83   64  0  0 100  0
 0  0   2924 1624772 372448 580828    0    0     0     1  121   80  0  2 98  0
 0  0   2924 1625020 372448 580832    0    0     0     6   79   68  0  0 100  0
 0  0   2924 1625020 372456 580832    0    0     0     5   84   60  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1625020 372460 580832    0    0     0     2   89   66  0  0 100  0
 0  0   2924 1625096 372464 580832    0    0     0     1  113   83  0  1 99  0
 0  0   2924 1624772 372472 580832    0    0     0    10  107   93  0  0 100  0
 0  0   2924 1624772 372476 580832    0    0     0     4   84   63  0  0 100  0
 0  0   2924 1624772 372480 580832    0    0     0     1   80   61  0  0 100  0
 0  0   2924 1621600 372500 580836    0    0     0    26  144  113  0  1 99  0
 0  0   2924 1621376 372500 580840    0    0     0     5   86   84  0  0 100  0
 0  0   2924 1621376 372500 580840    0    0     0    11   76   63  0  0 100  0
 0  0   2924 1622012 372504 580840    0    0     0     3   84   62  0  0 100  0
 2  0   2924 1622648 372508 580840    0    0     0     4  103   71  0  0 100  0
 0  0   2924 1621880 372520 580868    0    0     0    26  155  112  1  1 98  0
 0  0   2924 1622292 372524 580856    0    0     0    16  114   90  0  0 100  0
 0  0   2924 1622292 372528 580856    0    0     0    12   92   65  0  0 100  0
 0  0   2924 1622044 372528 580856    0    0     0     2   90   65  0  0 100  0
 0  0   2924 1621920 372528 580856    0    0     0    13  107   76  0  1 99  0
 0  0   2924 1622416 372528 580856    0    0     0    20  110   67  0  0 99  0
 0  0   2924 1622416 372532 580856    0    0     0     1   88   59  0  0 100  0
yogafire 2017-03-29 00:20:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2924 1617696 372548 581016    0    0     0     1    1    1  0  0 99  0
 0  0   2924 1617376 372560 581024    0    0     0     8  195  146  0  1 99  0
 0  0   2924 1614988 372584 581032    0    0     0    37  177  127  0  1 99  0
 0  0   2924 1614360 372600 581036    0    0     0    57  214  142  0  1 99  0
 1  0   2924 1614220 372612 581032    0    0     0    16  165  109  0  1 99  0
 0  0   2924 1613848 372628 581040    0    0     0    78  199  139  0  1 99  0
 0  0   2924 1624728 372636 581164    0    0     9    13  112   70  0  0 100  0
 0  0   2924 1622928 372636 581164    0    0     0    13  239  154  1  2 98  0
 0  0   2924 1613988 372660 581184    0    0     1    55  270  196  0  2 97  0
 0  0   2924 1613476 372664 581192    0    0     0     8   98   80  0  0 100  0
 0  0   2924 1613476 372676 581192    0    0     0    34   87   65  0  0 100  0
 0  0   2924 1613476 372680 581192    0    0     0     3   97   70  0  0 100  0
 2  0   2924 1612856 372692 581200    0    0     1    35  126   91  0  1 99  0
 0  0   2924 1612484 372692 581204    0    0     0     5   93   75  0  0 100  0
 0  0   2924 1614268 372696 581204    0    0     0     6   96   67  0  0 100  0
 0  0   2924 1622340 372700 581200    0    0     0     3  114   79  0  0 100  0
 0  0   2924 1623268 372708 581204    0    0     0     1  123   86  0  1 99  0
 0  0   2924 1623720 372708 581204    0    0     0     9   85   66  0  0 100  0
 0  0   2924 1623720 372716 581204    0    0     0     1   87   65  0  0 100  0
 0  0   2924 1623720 372720 581204    0    0     0     1   97   68  0  0 100  0
 0  0   2924 1624060 372724 581204    0    0     0     1  120   79  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1623720 372728 581208    0    0     0     6   85   63  0  0 100  0
 0  0   2924 1624232 372736 581208    0    0     0     5   91   62  0  0 100  0
 0  0   2924 1623712 372744 581208    0    0     0     4  107   77  0  0 100  0
 0  0   2924 1623036 372748 581208    0    0     0     3  123   79  0  1 99  0
 0  0   2924 1623092 372748 581208    0    0     0    10   80   59  0  0 100  0
 0  0   2924 1623092 372756 581208    0    0     0     1   90   63  0  0 100  0
 0  0   2924 1623092 372760 581208    0    0     0     1   92   65  0  0 100  0
 0  0   2924 1621060 372768 581208    0    0     0    26  149  105  0  1 99  0
 0  0   2924 1621076 372772 581212    0    0     0     5   68   60  0  0 100  0
 0  0   2924 1622084 372776 581212    0    0     0     3   94   64  0  0 100  0
 0  0   2924 1622084 372776 581212    0    0     0     5   91   66  0  0 100  0
 0  0   2924 1621936 372776 581212    0    0     0     1  112   75  0  1 99  0
 0  0   2924 1621960 372780 581212    0    0     0     8   77   69  0  0 100  0
 0  0   2924 1623100 372784 581212    0    0     0     1   90   68  0  0 100  0
 0  0   2924 1623348 372792 581212    0    0     0     2  151  124  0  0 100  0
 0  0   2924 1622712 372800 581212    0    0     0     5  123   80  0  1 99  0
 0  0   2924 1622728 372804 581216    0    0     0     8   99   72  0  0 100  0
 0  0   2924 1623356 372804 581220    0    0     0    20  121   79  0  0 99  0
 0  0   2924 1623356 372808 581220    0    0     0    10  118   75  0  0 100  0
 0  0   2924 1618936 372828 581260    0    0     0    39  253  160  1  2 97  0
 0  0   2924 1619092 372828 581256    0    0     0    20  105   68  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1619092 372828 581256    0    0     0     5  107   70  0  0 100  0
 0  0   2924 1619092 372828 581256    0    0     0     1  106   70  0  0 100  0
 0  0   2924 1618844 372832 581256    0    0     0     5  131   79  0  1 99  0
 0  0   2924 1618720 372832 581260    0    0     0     5  100   65  0  0 100  0
 0  0   2924 1621464 372832 581260    0    0     0     1  117   67  0  0 100  0
 0  0   2924 1624240 372836 581260    0    0     0     5  147   78  0  0 100  0
 2  0   2924 1618804 372860 581292    0    0     0    54  252  195  0  1 98  0
 0  0   2924 1618432 372860 581292    0    0     0    22  102   71  0  0 100  0
 0  0   2924 1618432 372868 581292    0    0     0     6  102   73  0  0 100  0
