yogafire 2017-03-27 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0   2924 1723948 366864 482752    0    0     0     0    0    0  0  0 99  0
 0  0   2924 1724400 366872 482768    0    0     0     7   76   85  0  0 100  0
 0  0   2924 1724400 366872 482768    0    0     0     1   68   69  0  0 100  0
 0  0   2924 1724400 366872 482768    0    0     0     9   81   76  0  0 100  0
 0  0   2924 1724624 366876 482768    0    0     0     1  105   93  0  1 99  0
 0  0   2924 1724648 366884 482768    0    0     0     9   77   84  0  0 100  0
 0  0   2924 1726028 366892 482768    0    0     0     1   75   65  0  0 100  0
 0  0   2924 1725780 366900 482768    0    0     0     1   77   70  0  0 100  0
 0  0   2924 1722080 366920 482768    0    0     0    49  184  154  0  1 99  0
 0  0   2924 1722128 366932 482768    0    0     0     5   83   88  0  0 100  0
 0  0   2924 1716864 366956 482732    0    0     0   206  305  235  2  1 97  0
 0  0   2924 1716740 366972 482720    0    0     0    23  148  131  0  0 100  0
 2  0   2924 1716476 366988 482720    0    0     0    11  136  122  0  0 100  0
 0  0   2924 1715872 366992 482720    0    0     0    15   69   66  0  0 99  0
 0  0   2924 1716384 366996 482720    0    0     0     2   72   66  0  0 100  0
 1  0   2924 1716260 367000 482720    0    0     0     1   69   68  0  0 100  0
 0  0   2924 1716260 367000 482720    0    0     0     1   60   65  0  0 100  0
 0  0   2924 1719284 367024 482752    0    0     0    40  171  129  1  1 98  0
 0  0   2924 1719284 367024 482756    0    0     0     1   65   70  0  0 100  0
 0  0   2924 1720540 367032 482752    0    0     0    14   84   73  0  0 100  0
 0  0   2924 1720540 367032 482756    0    0     0     1   79   91  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1720912 367040 482776    0    0     0    18  152  142  0  2 98  0
 0  0   2924 1720780 367052 482776    0    0     0     3  113  117  0  0 100  0
 0  0   2924 1718780 367072 482780    0    0     0    24  150  134  0  0 99  0
 0  0   2924 1719548 367084 482788    0    0     0     8  100   94  0  0 100  0
 0  0   2924 1719052 367092 482792    0    0     0    14   94   84  0  1 99  0
 0  0   2924 1719052 367096 482792    0    0     0     8   80   77  0  0 100  0
 0  0   2924 1719052 367100 482792    0    0     0     2   77   78  0  0 100  0
 0  0   2924 1717780 367116 482804    0    0     0    33  142  127  0  0 100  0
 0  0   2924 1718316 366620 482812    0    0     0    14  116  101  0  1 99  0
 0  0   2924 1717532 366640 483432    0    0    15   122  240  155  2  1 96  0
 0  0   2924 1717532 366644 483432    0    0     0     2   73   72  0  0 100  0
 0  0   2924 1717864 366652 483436    0    0     0    33   84   76  0  1 99  0
 0  0   2924 1717912 366660 483436    0    0     0    11   49   62  0  0 100  0
 0  0   2924 1717912 366668 483440    0    0     0     5   75   69  0  0 100  0
 0  0   2924 1719920 366712 483612    0    0     8    58  177  141  1  1 98  0
 4  0   2924 1721028 366720 483612    0    0     0     3  106   93  0  1 99  0
 0  0   2924 1721860 366736 483656    0    0     0    41  178  131  1  1 98  0
 0  0   2924 1721976 366756 483628    0    0     0    47  152  117  1  1 99  0
 0  0   2924 1720984 366772 484228    0    0    39    31  120  106  0  0 99  0
 0  0   2924 1720984 366780 484228    0    0     0    31   81   78  0  0 100  0
 0  0   2924 1720612 366800 484508    0    0    20    39  132  107  1  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1720984 366820 484576    0    0     4    35  116   92  0  1 99  0
 0  0   2924 1720860 366820 484576    0    0     0     3   75   73  0  0 100  0
 2  0   2924 1722008 366824 484576    0    0     0     1  111   99  0  0 100  0
 0  0   2924 1722008 366832 484580    0    0     0    21  105   99  0  0 99  0
 0  0   2924 1722876 366844 484584    0    0     0    27  115   95  0  1 99  0
 0  0   2924 1722752 366844 484616    0    0     1    30  121   96  0  0 99  0
 0  0   2924 1719348 366868 484640    0    0     1    54  167  145  1  1 99  0
 0  0   2924 1719348 366876 484660    0    0     1    27  118  107  0  1 99  0
 0  0   2924 1719348 366880 484660    0    0     0    26   72   72  0  0 100  0
 0  0   2924 1719844 366880 484660    0    0     0     2   84   78  0  0 100  0
 0  0   2924 1720976 366880 484724    0    0     5    30  139  118  0  0 99  0
 0  0   2924 1717688 366884 484784    0    0     2    70  181  157  1  1 97  0
 0  0   2924 1717340 366896 484856    0    0     5    62  147  117  1  1 99  0
 0  0   2924 1717852 366908 485292    0    0    28    34  150  105  1  1 98  0
 0  0   2924 1717348 366916 485300    0    0     0    23  130  101  0  1 99  0
 0  0   2924 1717852 366928 485304    0    0     1    29  114   90  1  0 99  0
 0  0   2924 1718100 366944 485296    0    0     0    49  155  121  1  1 98  0
 0  0   2924 1717852 366944 485328    0    0     1    31  129   94  0  0 99  0
 0  0   2924 1721108 366948 485340    0    0     0    33  241  190  1  2 97  0
 0  0   2924 1722132 366956 485360    0    0     1    22  133  103  1  1 99  0
 0  0   2924 1735128 366960 485052    0    0     0    35  129   91  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1733144 367000 487648    0    0   171    53  160  117  1  1 98  1
 1  0   2924 1732508 367008 488468    0    0    52    87  237  160  1  2 96  0
 0  0   2924 1732772 367008 488440    0    0     0    17   63   70  0  0 100  0
 0  0   2924 1731640 367020 488476    0    0     1    43  154  113  1  1 99  0
 0  0   2924 1731392 367032 488456    0    0     0    28  200  135  1  1 98  0
 0  0   2924 1733776 367116 483072    0    0     6    79  227  168  1  2 97  0
 0  0   2924 1731560 367128 483128    0    0     3    82  259  142  6  1 92  0
 0  0   2924 1730248 367160 483572    0    0    25    66  175  143  1  1 98  0
 0  0   2924 1727932 367192 483696    0    0     0    79  281  144  8  1 91  0
 0  0   2924 1728940 367212 483660    0    0     0    24  117   98  0  1 99  0
 0  0   2924 1729196 367216 483660    0    0     0    19   56   64  0  0 100  0
 1  0   2924 1728180 367248 483756    0    0     0    47  258  131  6  0 94  0
 0  0   2924 1728444 367276 483756    0    0     0    52  136  111  1  1 99  0
 3  0   2924 1728196 367284 483756    0    0     0    21   74   72  0  0 99  0
 0  0   2924 1728072 367288 483760    0    0     0     5   63   73  0  0 100  0
 0  0   2924 1728824 367288 483760    0    0     0     3   80   70  0  0 100  0
 0  0   2924 1728832 367292 483760    0    0     0    15   72   69  0  0 100  0
yogafire 2017-03-27 00:20:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0   2924 1726772 367296 483760    0    0     0     0    0    0  0  0 99  0
 0  0   2924 1734888 367300 483784    0    0     0    55  172  110  1  1 98  0
