yogafire 2017-04-09 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2940 1521956 374252 652032    0    0     1     0    1    1  0  0 99  0
 0  0   2940 1522328 374256 652048    0    0     0    12  138   98  0  0 100  0
 0  0   2940 1521048 374268 652076    0    0     0    51  219  148  2  1 97  0
 0  0   2940 1521048 374276 652084    0    0     0    10   79   71  0  0 100  0
 0  0   2940 1520288 374284 652084    0    0     0    12  103   78  0  1 99  0
 0  0   2940 1520288 374300 652096    0    0     1    65  141  113  0  0 99  0
 0  0   2940 1520048 374300 652124    0    0     0     6   98   74  0  0 100  0
 0  0   2940 1520164 374300 652132    0    0     0    17  107   76  1  0 99  0
 1  0   2940 1519428 374324 652128    0    0     0    29  147  114  0  1 99  0
 0  0   2940 1520436 374324 652128    0    0     0    18  108   79  0  0 100  0
 0  0   2940 1520436 374336 652128    0    0     0     5  111   84  0  0 100  0
 0  0   2940 1520436 374336 652128    0    0     0     1   65   60  0  0 100  0
 0  0   2940 1520816 374348 652128    0    0     0     3   76   64  0  0 100  0
 0  0   2940 1520568 374352 652132    0    0     0     5  105   78  0  1 99  0
 0  0   2940 1523336 374360 652132    0    0     0     2  107   74  0  0 100  0
 0  0   2940 1523336 374364 652132    0    0     0     7   73   73  0  0 100  0
 0  0   2940 1524840 374364 652132    0    0     0     1  103   86  0  0 100  0
 0  0   2940 1525088 374364 652132    0    0     0     5  109   77  0  1 99  0
 0  0   2940 1524080 374364 652132    0    0     0     5  100   74  0  0 100  0
 0  0   2940 1524080 374364 652132    0    0     0     3   69   67  0  0 100  0
 0  0   2940 1521288 374388 652164    0    0     0    69  241  162  2  2 95  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940 1521932 374388 652164    0    0     0    17  131   90  0  0 100  0
 0  0   2940 1521808 374388 652164    0    0     0     9  113   83  0  0 100  0
 0  0   2940 1521808 374388 652172    0    0     0    10   84   67  0  0 100  0
 0  0   2940 1521312 374388 652172    0    0     0     2  122   89  0  1 99  0
 0  0   2940 1521312 374392 652172    0    0     0     6   97   66  0  0 100  0
 0  0   2940 1521112 374412 652216    0    0     0    37  166  118  1  0 99  0
 0  0   2940 1520368 374412 652216    0    0     0     3   89   76  0  0 100  0
 0  0   2940 1517320 374428 652276    0    0     0    51  234  156  2  1 97  0
 0  0   2940 1516560 374468 652332    0    0     0    89  255  171  3  2 95  0
 0  0   2940 1516436 374468 652332    0    0     0     9  100   76  0  0 100  0
 0  0   2940 1516436 374468 652332    0    0     0    18   77   74  0  0 100  0
 0  0   2940 1516304 374468 652332    0    0     0     1  116   96  0  1 99  0
 0  0   2940 1516064 374472 652332    0    0     0    10   94   80  0  0 100  0
 0  0   2940 1516064 374476 652332    0    0     0     4  105   85  0  0 100  0
 0  0   2940 1517196 374476 652360    0    0     0    22  142  109  1  0 99  0
 4  0   2940 1518592 374484 652348    0    0     0    22  133  105  0  1 99  0
 0  0   2940 1517848 374492 652348    0    0     0     6  128   97  0  1 98  0
 0  0   2940 1518096 374500 652348    0    0     0    14   93   78  0  0 100  0
 0  0   2940 1518096 374500 652348    0    0     0     1   71   67  0  0 100  0
 0  0   2940 1517356 374508 652352    0    0     0     5  127  105  0  1 99  0
 0  0   2940 1517848 374508 652356    0    0     0    13  102   82  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940 1519080 374524 652384    0    0     0    25  147  109  1  0 99  0
 0  0   2940 1521228 374524 652368    0    0     0     7   90   74  0  0 100  0
 0  0   2940 1521228 374524 652368    0    0     0    10   80   73  0  0 100  0
 0  0   2940 1521476 374528 652368    0    0     0     7  110   84  0  1 99  0
 0  0   2940 1521600 374532 652372    0    0     0     1   95   75  0  0 100  0
 0  0   2940 1522236 374540 652372    0    0     0     5   94   72  0  0 100  0
 0  0   2940 1520652 374544 652364    0    0     0    13  150  122  0  1 99  0
 0  0   2940 1521476 374552 652372    0    0     0    22  105   78  0  0 100  0
 0  0   2940 1521344 374568 652380    0    0     0    13   89   80  0  0 100  0
 0  0   2940 1521344 374568 652380    0    0     0    11   63   71  0  0 100  0
 0  0   2940 1520964 374572 652380    0    0     0     1   96   79  0  1 99  0
 0  0   2940 1520972 374576 652380    0    0     0     6   86   72  0  0 100  0
 0  0   2940 1520972 374576 652380    0    0     0     5   84   67  0  0 100  0
 0  0   2940 1521476 374576 652380    0    0     0     1   68   61  0  0 100  0
 0  0   2940 1521980 374580 652380    0    0     0     1  107   93  0  1 99  0
 0  0   2940 1523376 374588 652380    0    0     0     8   93   70  0  0 100  0
 0  0   2940 1523376 374592 652384    0    0     0     1   90   79  0  0 100  0
 0  0   2940 1523376 374592 652384    0    0     0     5   60   63  0  0 100  0
 4  0   2940 1523376 374596 652384    0    0     0     3   83   78  0  1 99  0
 0  0   2940 1523376 374596 652388    0    0     0     6  102   87  0  1 99  0
 0  0   2940 1523624 374596 652388    0    0     0     1   78   71  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940 1523624 374596 652388    0    0     0     6   65   63  0  0 100  0
 0  0   2940 1523624 374600 652388    0    0     0     1  105   93  0  1 99  0
 1  0   2940 1524624 374604 652388    0    0     0     5   84   70  0  0 100  0
 0  0   2940 1524872 374604 652388    0    0     0     4   82   68  0  0 100  0
 0  0   2940 1524872 374604 652388    0    0     0     1   72   66  0  0 100  0
 3  0   2940 1522972 374616 652400    0    0     0    23  148  118  0  1 99  0
 0  0   2940 1522228 374624 652404    0    0     0    25  112   82  0  1 99  0
 0  0   2940 1521964 374632 652408    0    0     0     6  113   86  0  0 100  0
 1  0   2940 1521964 374640 652408    0    0     0     8   69   61  0  0 100  0
 0  0   2940 1521964 374640 652408    0    0     0     1   88   80  0  0 100  0
 0  0   2940 1521344 374644 652408    0    0     0     5  100   80  0  1 99  0
 0  0   2940 1521608 374648 652408    0    0     0     4   79   67  0  0 100  0
 0  0   2940 1520964 374656 652416    0    0     0    31  148  120  1  0 99  0
 0  0   2940 1521484 374684 652688    0    0     1    97  171  137  1  1 98  0
 0  0   2940 1521864 374684 652688    0    0     0    21   89   72  0  0 100  0
 0  0   2940 1521864 374684 652688    0    0     0     1   80   70  0  0 100  0
 0  0   2940 1521864 374688 652688    0    0     0     1   60   63  0  0 100  0
yogafire 2017-04-09 00:20:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  0   2940 1522144 374692 652688    0    0     1     0    1    1  0  0 99  0
 0  0   2940 1522104 374696 652688    0    0     0     6   91   72  0  0 100  0
 0  0   2940 1522088 374704 652692    0    0     0     9  132  105  0  0 99  0
 0  0   2940 1522228 374708 652688    0    0     0     8   77   69  0  0 100  0
 3  0   2940 1521732 374712 652688    0    0     0     5  107   79  0  1 99  0
 0  0   2940 1521236 374716 652688    0    0     0     7   96   79  0  0 100  0
 0  0   2940 1521104 374716 652692    0    0     0     6   95   74  0  0 100  0
 0  0   2940 1521104 374720 652692    0    0     0     4   73   66  0  0 100  0
 0  0   2940 1522096 374724 652692    0    0     0     4  119   93  0  1 99  0
 1  0   2940 1532820 374728 652692    0    0     0     9  136   74  0  0 100  0
 0  0   2940 1532944 374732 652692    0    0     0     1   77   69  0  0 100  0
 0  0   2940 1532944 374736 652692    0    0     0     5   55   65  0  0 100  0
 0  0   2940 1532856 374736 652692    0    0     0     1   78   76  0  1 99  0
 0  0   2940 1531920 374760 652740    0    0     2    81  150  121  1  0 99  0
 0  0   2940 1531796 374764 652740    0    0     0    11   83   75  0  0 100  0
 0  0   2940 1531796 374780 652740    0    0     0     5   63   68  0  0 100  0
 0  0   2940 1531052 374784 652740    0    0     0    10  108   92  0  1 99  0
 0  0   2940 1530928 374792 652740    0    0     0     5   89   72  0  0 100  0
 0  0   2940 1531052 374796 652740    0    0     0     1   89   76  0  0 100  0
 0  0   2940 1531052 374796 652740    0    0     0     4   74   69  0  0 100  0
 0  0   2940 1533968 374796 652740    0    0     0     1  144   95  0  2 97  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940 1534216 374796 652748    0    0     0     5   93   74  0  0 100  0
 0  0   2940 1534216 374796 652748    0    0     0     4   93   74  0  0 100  0
 0  0   2940 1534216 374796 652748    0    0     0     4   73   67  0  0 100  0
 0  0   2940 1534216 374804 652748    0    0     0     1  115   94  0  1 99  0
 0  0   2940 1534092 374808 652748    0    0     0    10   93   73  0  0 100  0
 0  0   2940 1534472 374808 652748    0    0     0     1   96   74  0  0 100  0
 0  0   2940 1533952 374812 652752    0    0     0     2   93   79  0  0 100  0
 0  0   2940 1529524 374836 652780    0    0     0    43  213  151  0  1 98  0
 0  0   2940 1529308 374852 652784    0    0     0    16   95   73  0  0 100  0
 0  0   2940 1529432 374856 652784    0    0     0    16   81   72  0  0 100  0
 0  0   2940 1529432 374860 652784    0    0     0     1   68   66  0  0 100  0
 0  0   2940 1529432 374864 652784    0    0     0     1  118  101  0  1 99  0
