yogafire 2017-05-02 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  1      0 144436 319656 2182948    0    0     3     7    2    0  0  0 99  0
 0  0      0 145700 319668 2182960    0    0     0    14   84   70  0  0 100  0
 0  0      0 144708 319672 2182968    0    0     0     5   89   83  0  0 99  0
 0  0      0 143660 319696 2182988    0    0     0    37  125  116  1  0 99  0
 0  0      0 143148 319696 2182988    0    0     0    10   79   83  0  1 99  0
 0  0      0 142792 319708 2182988    0    0     0    10   60   63  0  0 100  0
 0  0      0 142792 319712 2182988    0    0     0     8   58   62  0  0 100  0
 0  0      0 143172 319712 2182988    0    0     0     2   59   62  0  0 100  0
 0  0      0 143172 319716 2182988    0    0     0     1   69   74  0  1 99  0
 0  0      0 145304 319720 2182984    0    0     0     9   70   71  0  0 100  0
 0  0      0 145420 319736 2183036    0    0     0    11  138  112  1  0 99  0
 0  0      0 144768 319744 2183036    0    0     0    33   85  106  0  0 100  0
 3  0      0 144132 319748 2183036    0    0     0    10   72   75  0  0 99  0
 0  0      0 140712 319756 2182984    0    0     0    47  200  183  0  1 99  0
 0  0      0 137580 319808 2183188    0    0     0   121  364  342  0  1 99  0
 0  0      0 137456 319816 2183192    0    0     0    16   73   84  0  0 100  0
 0  0      0 137456 319824 2183192    0    0     0    21   68   68  0  0 100  0
 0  0      0 138116 319832 2183188    0    0     0     5  110   87  0  1 99  0
 0  0      0 137604 319836 2183200    0    0     0     1   81   79  0  0 100  0
 0  0      0 136720 319860 2183236    0    0     0    41  147  118  1  0 99  0
 0  0      0 136720 319860 2183236    0    0     0     2   67   78  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 142652 319864 2183240    0    0     0    11  126  116  0  2 98  0
 0  0      0 142652 319868 2183240    0    0     0    10   61   74  0  0 100  0
 0  0      0 142652 319876 2183240    0    0     0     3   59   82  0  0 100  0
 0  0      0 142652 319876 2183240    0    0     0     2   58   74  0  0 100  0
 0  0      0 137016 320092 2183956    0    0    55    81  331  277  1  2 96  1
 0  0      0 136644 320100 2183996    0    0     0     9  108   99  0  0 99  0
 0  0      0 136644 320108 2183992    0    0     0    44   95   85  0  0 100  0
 0  0      0 136776 320132 2184012    0    0     0    26   94   85  0  0 100  0
 0  0      0 136404 320140 2184004    0    0     0     6   86   83  0  1 99  0
 0  0      0 136404 320144 2184012    0    0     0    33   69   87  0  0 100  0
 0  0      0 136404 320148 2184012    0    0     0     1   58   61  0  0 100  0
 0  0      0 136404 320156 2184012    0    0     0     8   99  104  0  1 99  0
 0  0      0 135108 320168 2183780    0    0     0    47  214  261  0  0 99  0
 0  0      0 129612 320216 2183832    0    0     0   104  349  317  1  1 98  0
 0  0      0 125236 320412 2184344    0    0     0   195  799  755  1  1 97  0
 0  0      0 122864 320496 2184604    0    0     0   161  378  357  0  1 98  0
 0  0      0 123004 320508 2184556    0    0     0    51   90   93  0  0 100  0
 0  0      0 123004 320520 2184560    0    0     0     7   59   64  0  0 100  0
 0  0      0 123004 320532 2184560    0    0     0    11   58   60  0  0 100  0
 1  0      0 123004 320532 2184560    0    0     0     1   75   72  0  1 99  0
 0  0      0 123756 320540 2184560    0    0     0     6   90   95  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 130732 320548 2184028    0    0     0     8   79   97  0  0 100  0
 0  0      0 142696 320552 2184028    0    0     0     1   84   84  0  0 100  0
 0  0      0 143828 320556 2184028    0    0     0     1   83   75  0  1 99  0
 0  0      0 143828 320564 2184024    0    0     0     9   66   66  0  0 100  0
 0  0      0 143828 320568 2184032    0    0     0     1   59   63  0  0 100  0
 0  0      0 144076 320572 2184032    0    0     0     5   90   84  0  0 100  0
 0  0      0 138216 320580 2184032    0    0     0    11  166  155  1  1 98  0
 0  0      0 138216 320592 2184036    0    0     0     6   72   83  0  0 100  0
 0  0      0 139232 320596 2184036    0    0     0    11   74   74  0  0 100  0
 0  0      0 139364 320600 2184036    0    0     0     5   62   78  0  0 100  0
 4  0      0 139364 320600 2184036    0    0     0     1   67   65  0  1 99  0
 0  0      0 139640 320620 2184012    0    0     0    52  241  214  1  1 99  0
 0  0      0 133476 320692 2184176    0    0     0    66  358  280  1  3 96  0
 0  0      0 133476 320704 2184176    0    0     0    43   65   77  0  0 100  0
 0  0      0 133476 320708 2184176    0    0     0     3   61   59  0  0 100  0
 0  0      0 132360 320708 2184176    0    0     0    11   95   87  0  1 99  0
 0  0      0 132360 320708 2184176    0    0     0     2   61   56  0  0 100  0
 0  0      0 132360 320712 2184176    0    0     0     1   60   56  0  0 100  0
 0  0      0 134244 320720 2184176    0    0     0     1   66   59  0  0 100  0
 0  0      0 137028 320724 2184188    0    0     0    18  175  143  0  2 98  0
 0  0      0 137028 320728 2184188    0    0     0     8   67   84  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 137028 320736 2184188    0    0     0     5   71  101  0  0 100  0
 0  0      0 137028 320740 2184188    0    0     0     1   73  102  0  0 100  0
 0  0      0 136772 320744 2184188    0    0     0    11  105  104  0  1 99  0
 0  0      0 136004 320784 2184236    0    0     0    62  270  218  2  1 97  0
 0  0      0 136880 320808 2184284    0    0     0    46  177  135  1  0 99  0
 0  0      0 137260 320820 2184296    0    0     0    31  123  117  0  0 100  0
 0  0      0 136020 320832 2184296    0    0     0    10  106  105  0  1 99  0
 0  0      0 136284 320832 2184300    0    0     0    33   66   70  0  0 100  0
 0  0      0 136284 320840 2184300    0    0     0     2   85  106  0  0 100  0
 0  0      0 136284 320848 2184300    0    0     0     7   86   90  0  1 99  0
 0  0      0 136136 320852 2184296    0    0     0    26  158  141  0  0 99  0
 0  0      0 135772 320888 2184320    0    0     0    34   89  110  0  0 100  0
 0  0      0 137400 320892 2184340    0    0     0    26   84   87  0  0 100  0
 0  0      0 137260 320900 2184340    0    0     0     5   77   77  0  1 99  0
 0  0      0 137276 320900 2184340    0    0     0     6   63   62  0  0 100  0
 0  0      0 137276 320904 2184340    0    0     0     7   55   61  0  0 100  0
 0  0      0 136384 320904 2184360    0    0     0    24  115  108  0  0 99  0
yogafire 2017-05-02 00:20:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 136220 320904 2184360    0    0     3     7    2    0  0  0 99  0
 0  0      0 140556 320912 2184360    0    0     0    20   88   88  0  0 100  0
 0  0      0 140556 320916 2184360    0    0     0     1   57   67  0  0 100  0
 0  0      0 140556 320920 2184360    0    0     0     1   49   57  0  0 100  0
 0  0      0 140432 320924 2184360    0    0     0     5   74   73  0  1 99  0
 0  0      0 140432 320924 2184368    0    0     0     9   87   96  0  0 100  0
 0  0      0 142448 320924 2184368    0    0     0     5   68   61  0  0 100  0
 0  0      0 142448 320928 2184368    0    0     0     4   53   58  0  0 100  0
 0  0      0 142244 320928 2184368    0    0     0     2   75   71  0  1 99  0
 0  0      0 142324 320932 2184368    0    0     0    10   60   72  0  0 100  0
 0  0      0 142200 320944 2184368    0    0     0     4   74   88  0  0 100  0
 0  0      0 142200 320944 2184368    0    0     0     1   54   60  0  0 100  0
 2  0      0 142200 320944 2184368    0    0     0     3   63   63  0  0 100  0
 0  0      0 139640 320956 2184344    0    0     0    24  204  196  0  1 99  0
 0  0      0 137244 321016 2184424    0    0     0    80  226  219  0  0 99  0
 0  0      0 137260 321016 2184444    0    0     0    14  113  102  0  0 100  0
 0  0      0 135788 321024 2184440    0    0     0    22   98   98  0  1 99  0
 0  0      0 135012 321024 2184448    0    0     0    13   98   88  0  0 100  0
 0  0      0 135012 321032 2184448    0    0     0    10   78   77  0  0 100  0
 0  0      0 135012 321048 2184448    0    0     0    16   75   70  0  0 100  0
 1  0      0 135220 321056 2184456    0    0     0     1   90   83  0  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 140572 321068 2184456    0    0     0    13   79   69  0  0 100  0
 0  0      0 140572 321072 2184456    0    0     0     1   61   67  0  0 100  0
 0  0      0 140448 321076 2184456    0    0     0     3   57   59  0  0 100  0
 0  0      0 142068 321080 2184456    0    0     0     3   98   95  0  1 99  0
 0  0      0 141952 321088 2184456    0    0     0     6   59   65  0  0 100  0
