yogafire 2017-04-27 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1454112 432056 649980    0    0     3     8    5    2  0  0 99  0
 0  0      0 1453868 432060 649992    0    0     0    17   85   83  0  0 100  0
 0  0      0 1455868 432064 649996    0    0     0     2   62   66  0  0 100  0
 0  0      0 1457124 432064 649996    0    0     0     6   70   73  0  0 100  0
 0  0      0 1454780 432064 649952    0    0     0    26  183  195  0  1 99  0
 0  0      0 1451300 432084 650112    0    0     0    73  333  312  0  1 99  0
 0  0      0 1451300 432092 650128    0    0     0    39   62   62  0  0 100  0
 0  0      0 1451300 432096 650128    0    0     0     3   70   67  0  0 100  0
 0  0      0 1450276 432096 650128    0    0     0     4   82   74  0  1 99  0
 0  0      0 1449812 432096 650128    0    0     0     9   52   61  0  0 100  0
 0  0      0 1449812 432096 650128    0    0     0     1   59   89  0  0 100  0
 0  0      0 1450192 432096 650128    0    0     0     1   62   73  0  0 100  0
 2  0      0 1456620 432100 650128    0    0     0     1   95   80  0  0 99  0
 0  0      0 1455976 432108 650212    0    0     0    54  177  121  2  1 97  0
 0  0      0 1455976 432108 650212    0    0     0     3   73   72  0  0 100  0
 0  0      0 1453720 432112 650224    0    0     0    20  108   98  0  0 100  0
 0  0      0 1453720 432112 650224    0    0     0     1   61   67  0  0 100  0
 0  0      0 1452108 432112 650224    0    0     0    12   90   83  0  1 99  0
 0  0      0 1452108 432116 650224    0    0     0     3   63   65  0  0 100  0
 0  0      0 1452372 432116 650224    0    0     0     4   80   70  0  0 100  0
 1  0      0 1443196 432116 650224    0    0     0    16  174  109  1  2 97  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1443568 432124 650228    0    0     0    10   86   72  0  0 100  0
 0  0      0 1449196 432128 651972    0    0     0   134   83   67  0  0 100  0
 0  0      0 1448956 432128 652020    0    0     0     9  163   98  3  0 97  0
 3  0      0 1449288 432132 650260    0    0     2   284  226  177  1  1 99  0
 0  0      0 1451132 432136 650360    0    0     0    74  292  231  1  1 98  0
 0  0      0 1451132 432136 650360    0    0     0     6   63   61  0  0 100  0
 0  0      0 1451132 432136 650360    0    0     0    30   79   80  0  0 100  0
 0  0      0 1450680 432136 650360    0    0     0     2   89   84  0  1 99  0
 0  0      0 1450636 432136 650364    0    0     0     9   68   76  0  0 100  0
 0  0      0 1451404 432136 650364    0    0     0     1   70   68  0  0 100  0
 0  0      0 1453040 432136 650364    0    0     0     2   82   88  0  0 100  0
 0  0      0 1455296 432136 650364    0    0     0     6  146  111  0  1 99  0
 0  0      0 1455172 432136 650364    0    0     0     5   67   78  0  0 100  0
 0  0      0 1456436 432136 650364    0    0     0     4   66   64  0  0 100  0
 0  0      0 1456436 432136 650364    0    0     0     1   62   59  0  0 100  0
 0  0      0 1449924 432152 650416    0    0     0    43  216  156  1  2 97  0
 0  0      0 1449924 432156 650368    0    0     0    21   97   79  0  0 100  0
 0  0      0 1450180 432160 650368    0    0     0     7   74   64  0  0 100  0
 0  0      0 1450676 432164 650416    0    0     0    24  126   97  1  0 99  0
 0  0      0 1449924 432164 650424    0    0     0    20  119   87  0  1 99  0
 0  0      0 1450544 432172 650428    0    0     0     8   78   63  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1450544 432176 650428    0    0     0    13   80   66  0  0 100  0
 0  0      0 1452552 432184 650428    0    0     0     3   76   61  0  0 100  0
 0  0      0 1450496 432192 650408    0    0     0    22  166  143  0  1 99  0
 0  0      0 1450008 432212 650480    0    0     0    40  167  143  0  0 99  0
 0  0      0 1450024 432220 650500    0    0     0    27   79   82  0  0 100  0
 0  0      0 1450024 432220 650500    0    0     0     3   66   65  0  0 100  0
 0  0      0 1449496 432220 650500    0    0     0     2   94   83  0  1 99  0
 0  0      0 1449404 432220 650504    0    0     0    11   77   69  0  0 100  0
 0  0      0 1449404 432220 650504    0    0     0     1   64   64  0  0 100  0
 0  0      0 1451420 432220 650504    0    0     0     2   74   66  0  0 100  0
 0  0      0 1454536 432220 650504    0    0     0     2  104   75  0  1 99  0
 0  0      0 1454568 432220 650508    0    0     0     5   63   60  0  0 100  0
 0  0      0 1454444 432224 650508    0    0     0     4   73   76  0  0 100  0
 0  0      0 1454444 432224 650508    0    0     0     5   63   63  0  0 100  0
 2  0      0 1454444 432228 650508    0    0     0     1   59   63  0  0 100  0
 0  0      0 1454568 432232 650508    0    0     0     8   79   74  0  1 99  0
 0  0      0 1454568 432232 650508    0    0     0     1   63   64  0  0 100  0
 0  0      0 1452552 432232 650508    0    0     0    10  116  104  0  0 100  0
 0  0      0 1451132 432232 650524    0    0     0    13  140  135  0  1 98  0
 0  0      0 1451188 432232 650524    0    0     0    10   66   66  0  0 100  0
 0  0      0 1451188 432236 650520    0    0     0    12   59   59  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1451188 432236 650524    0    0     0     1   58   59  0  0 100  0
 3  0      0 1448728 432240 650496    0    0     3    29  548  137 22  1 78  0
 0  0      0 1444496 432260 650696    0    0     0    74  568  367 10  1 89  0
 0  0      0 1444628 432272 650748    0    0     0    53  101  100  0  0 100  0
 0  0      0 1447132 432276 650748    0    0     0    30   74   66  0  0 100  0
 0  0      0 1446364 432276 650748    0    0     0     2   88   80  0  1 99  0
 0  0      0 1446388 432276 650748    0    0     0    11   75   81  0  0 100  0
 0  0      0 1444860 432284 650768    0    0     0     9  141  113  1  0 99  0
 0  0      0 1444860 432296 650776    0    0     0    25  102   94  0  0 100  0
 0  0      0 1451488 432296 650776    0    0     0    15  121   94  0  1 99  0
 0  0      0 1451800 432296 650776    0    0     0     7   67   63  0  0 100  0
 0  0      0 1451800 432296 650776    0    0     0     6   65   64  0  0 100  0
 0  0      0 1451800 432296 650776    0    0     0     2   66   66  0  0 100  0
 0  0      0 1451768 432296 650776    0    0     0     1   88   77  0  1 99  0
 0  0      0 1453320 432296 650776    0    0     0    10   87   74  0  0 100  0
 0  0      0 1454072 432296 650776    0    0     0     4   66   65  0  0 100  0
 0  0      0 1453568 432296 650780    0    0     0     7  117   97  1  0 99  0
yogafire 2017-04-27 00:20:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1451292 432300 650796    0    0     3     8    5    2  0  0 99  0
 0  0      0 1451544 432312 650792    0    0     0    12   80   68  0  0 100  0
 0  0      0 1451668 432312 650796    0    0     0    11   71   68  0  0 100  0
