yogafire 2017-04-29 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0      0 1459664 487808 554740    0    0     2     9   34   30  0  0 99  0
 0  0      0 1459260 487820 554760    0    0     0    13   74   78  0  0 100  0
 0  0      0 1459260 487824 554760    0    0     0     2   55   69  0  0 100  0
 0  0      0 1459260 487824 554760    0    0     0     3   52   67  0  0 100  0
 0  0      0 1459260 487828 554760    0    0     0     3   50   67  0  0 100  0
 0  0      0 1459012 487832 554760    0    0     0     6   79   88  0  1 99  0
 0  0      0 1459012 487836 554760    0    0     0     4   55   68  0  0 100  0
 0  0      0 1459012 487844 554760    0    0     0     1   58   69  0  0 100  0
 0  0      0 1459012 487848 554760    0    0     0     1   84   98  0  1 99  0
 1  0      0 1456616 487852 554772    0    0     0    15  111  106  0  0 100  0
 0  0      0 1456616 487856 554772    0    0     0     1   50   65  0  0 100  0
 0  0      0 1456616 487856 554772    0    0     0     9   50   62  0  0 100  0
 2  0      0 1453516 487868 554848    0    0     0    45  186  122  3  1 96  0
 0  0      0 1452368 487872 554848    0    0     0    23  153  159  0  0 99  0
 0  0      0 1450724 487884 554920    0    0     0    63  168  151  0  0 99  0
 0  0      0 1451848 487888 554920    0    0     0     6   58   67  0  0 100  0
 0  0      0 1451848 487900 554920    0    0     0    16   72   76  0  0 100  0
 0  0      0 1450980 487900 554920    0    0     0     6  106   94  0  1 99  0
 0  0      0 1450980 487900 554920    0    0     0     6   51   67  0  0 100  0
 0  0      0 1452128 487904 554920    0    0     0     2   67   67  0  0 100  0
 0  0      0 1453508 487908 554920    0    0     0     2   60   65  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0      0 1457036 487912 554916    0    0     0    26  105   97  0  1 98  0
 0  0      0 1457036 487916 554920    0    0     0     2   56   66  0  0 100  0
 0  0      0 1458160 487920 554920    0    0     0     5   62   65  0  0 100  0
 2  0      0 1458160 487920 554920    0    0     0     1   60   64  0  0 100  0
 0  0      0 1458160 487920 554920    0    0     0     5   74   68  0  0 99  0
 0  0      0 1458160 487920 554920    0    0     0     5   54   60  0  0 100  0
 0  0      0 1456136 487920 554972    0    0     0     8  126   95  1  0 99  0
 0  0      0 1456260 487936 554972    0    0     0    29   83   83  0  0 100  0
 0  0      0 1455640 487936 554976    0    0     0    19   82   82  0  1 99  0
 0  0      0 1455640 487936 554976    0    0     0     2   53   65  0  0 100  0
 0  0      0 1455640 487936 554976    0    0     0     2   57   71  0  0 100  0
 0  0      0 1455740 487936 555020    0    0     0    10  136  113  1  1 98  0
 0  0      0 1455128 487936 555032    0    0     0    40  166  142  1  1 98  0
 0  0      0 1456524 487944 555040    0    0     0    29   90   88  0  0 100  0
 0  0      0 1456524 487944 555040    0    0     0     3   49   64  0  0 100  0
 0  0      0 1456524 487944 555040    0    0     0     7   55   64  0  0 100  0
 0  0      0 1455020 487944 554640    0    0     0    11  100   96  0  2 98  0
 0  0      0 1455096 487964 554684    0    0     0    23  144  119  1  0 99  0
 0  0      0 1455096 487972 554692    0    0     0    21   81   79  0  0 100  0
 3  0      0 1454980 487976 554692    0    0     0     4   81   78  0  1 99  0
