yogafire 2017-03-28 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0   2924 1676980 375008 519800    0    0     0     0    0    0  0  0 99  0
 0  0   2924 1677352 375008 519816    0    0     0     6  102   64  0  0 100  0
 0  0   2924 1677352 375012 519816    0    0     0     2  100   68  0  0 100  0
 0  0   2924 1677352 375016 519816    0    0     0     9  109   76  0  0 100  0
 0  0   2924 1676972 375016 519816    0    0     0     1  132   96  0  1 99  0
 0  0   2924 1678088 375044 519864    0    0     0    59  268  185  2  1 97  0
 0  0   2924 1678088 375056 519868    0    0     0    18   98   70  0  0 100  0
 0  0   2924 1678088 375064 519868    0    0     0     9   98   65  0  0 100  0
 0  0   2924 1675684 375080 519880    0    0     0    39  142  103  0  1 99  0
 0  0   2924 1675576 375092 519876    0    0     0    23   74   56  0  0 100  0
 0  0   2924 1675576 375096 519880    0    0     0     1   88   62  0  0 100  0
 0  0   2924 1675956 375100 519880    0    0     0     3   97   75  0  0 100  0
 3  0   2924 1678228 375104 519880    0    0     0     1  102   72  0  0 99  0
 0  0   2924 1678228 375112 519880    0    0     0     6   84   76  0  0 100  0
 0  0   2924 1680508 375120 519880    0    0     0     5   96   82  0  0 100  0
 0  0   2924 1678920 375120 519908    0    0     0    33  179  128  1  1 99  0
 0  0   2924 1678920 375124 519916    0    0     0     5   85   73  0  0 100  0
 0  0   2924 1676632 375132 520020    0    0     0    29  225  118  5  1 94  0
 0  0   2924 1675112 375136 520032    0    0     0    60  142  125  0  0 99  0
 0  0   2924 1674988 375140 520032    0    0     0    12   92   81  0  0 100  0
 0  0   2924 1673428 375156 520032    0    0     0     4  114   88  0  2 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1673748 375160 520032    0    0     0     6   78   79  0  0 100  0
 0  0   2924 1674004 375164 520032    0    0     0     6   84   67  0  0 100  0
 0  0   2924 1674128 375176 520036    0    0     0     5  105   89  0  0 100  0
 0  0   2924 1676268 375176 520036    0    0     0     3   97   91  0  0 100  0
 0  0   2924 1677532 375184 520036    0    0     0     9  118   92  0  1 99  0
 0  0   2924 1677532 375184 520036    0    0     0     1   80   70  0  0 100  0
 0  0   2924 1677648 375188 520036    0    0     0     5   83   67  0  0 100  0
 0  0   2924 1675056 375200 520048    0    0     0    33  179  130  0  1 99  0
 0  0   2924 1675128 375204 520048    0    0     0    19   74   70  0  0 100  0
 0  0   2924 1675128 375204 520048    0    0     0     4   81   74  0  0 100  0
 0  0   2924 1675252 375204 520048    0    0     0     2   94   81  0  0 100  0
 0  0   2924 1675740 375208 520048    0    0     0     4  105   79  0  1 99  0
 0  0   2924 1675880 375208 520052    0    0     0     5   79   77  0  0 100  0
 0  0   2924 1676764 375216 520052    0    0     0     2   82   68  0  0 100  0
 0  0   2924 1674500 375232 520068    0    0     0    19  195  130  1  0 99  0
 0  0   2924 1673112 375240 520068    0    0     0    22  146  109  0  1 98  0
 0  0   2924 1673136 375256 520068    0    0     0    24   78   66  0  0 100  0
 0  0   2924 1673508 375276 520104    0    0     0    36  145  109  1  0 99  0
 0  0   2924 1673508 375280 520104    0    0     0    10   89   78  0  0 100  0
 3  0   2924 1673508 375292 520104    0    0     0     4   84   68  0  0 100  0
 0  0   2924 1675004 375296 520104    0    0     0     6  107   85  0  1 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2924 1676012 375300 520104    0    0     0     7   93   68  0  0 100  0
 0  0   2924 1676136 375300 520104    0    0     0     1   88   80  0  0 100  0
 0  0   2924 1675904 375316 520044    0    0     0   218  207  153  1  1 98  0
 0  0   2924 1675912 375320 520016    0    0     0     9   87   92  0  0 100  0
 0  0   2924 1675912 375328 520016    0    0     0    14   83   73  0  0 100  0
 0  0   2924 1675788 375328 520020    0    0     0     2   85   66  0  0 100  0
 2  0   2924 1674888 375364 520036    0    0     0    45  171  135  0  1 99  0
 0  0   2924 1673896 375364 520044    0    0     0    17   88   71  0  0 99  0
 0  0   2924 1673896 375368 520044    0    0     0     1   79   66  0  0 100  0
 0  0   2924 1674664 375368 520044    0    0     0     8  104   73  0  0 100  0
 0  0   2924 1674788 375372 520044    0    0     0     1   98   80  0  1 99  0
 0  0   2924 1674788 375380 520044    0    0     0     5   70   62  0  0 100  0
 0  0   2924 1675796 375384 520044    0    0     0     5   91   79  0  0 100  0
 0  0   2924 1677812 375392 520044    0    0     0     1  102   74  0  0 100  0
 0  0   2924 1677764 375400 520044    0    0     0     1  100   70  0  1 99  0
 0  0   2924 1678688 375404 520044    0    0     0     8   72   60  0  0 100  0
 0  0   2924 1678688 375412 520044    0    0     0     1   80   67  0  0 100  0
 0  0   2924 1678812 375412 520044    0    0     0     1   94   85  0  0 100  0
